date,climatisation appartement,isPartial
2018-01-07,0,False
2018-01-14,10,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,11,False
2018-02-18,11,False
2018-02-25,0,False
2018-03-04,11,False
2018-03-11,0,False
2018-03-18,11,False
2018-03-25,11,False
2018-04-01,0,False
2018-04-08,11,False
2018-04-15,23,False
2018-04-22,11,False
2018-04-29,11,False
2018-05-06,27,False
2018-05-13,11,False
2018-05-20,16,False
2018-05-27,10,False
2018-06-03,21,False
2018-06-10,0,False
2018-06-17,31,False
2018-06-24,18,False
2018-07-01,28,False
2018-07-08,11,False
2018-07-15,18,False
2018-07-22,36,False
2018-07-29,76,False
2018-08-05,40,False
2018-08-12,14,False
2018-08-19,13,False
2018-08-26,11,False
2018-09-02,11,False
2018-09-09,11,False
2018-09-16,31,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,10,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,10,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,25,False
2019-01-06,16,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,10,False
2019-02-03,10,False
2019-02-10,10,False
2019-02-17,11,False
2019-02-24,22,False
2019-03-03,10,False
2019-03-10,0,False
2019-03-17,11,False
2019-03-24,0,False
2019-03-31,18,False
2019-04-07,11,False
2019-04-14,11,False
2019-04-21,24,False
2019-04-28,24,False
2019-05-05,23,False
2019-05-12,11,False
2019-05-19,16,False
2019-05-26,0,False
2019-06-02,10,False
2019-06-09,11,False
2019-06-16,15,False
2019-06-23,100,False
2019-06-30,15,False
2019-07-07,11,False
2019-07-14,24,False
2019-07-21,55,False
2019-07-28,0,False
2019-08-04,14,False
2019-08-11,0,False
2019-08-18,14,False
2019-08-25,12,False
2019-09-01,0,False
2019-09-08,11,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,11,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,11,False
2019-11-24,0,False
2019-12-01,10,False
2019-12-08,10,False
2019-12-15,11,False
2019-12-22,13,False
2019-12-29,0,False
2020-01-05,15,False
2020-01-12,10,False
2020-01-19,10,False
2020-01-26,10,False
2020-02-02,10,False
2020-02-09,10,False
2020-02-16,11,False
2020-02-23,10,False
2020-03-01,10,False
2020-03-08,10,False
2020-03-15,0,False
2020-03-22,11,False
2020-03-29,10,False
2020-04-05,31,False
2020-04-12,21,False
2020-04-19,10,False
2020-04-26,15,False
2020-05-03,13,False
2020-05-10,30,False
2020-05-17,56,False
2020-05-24,34,False
2020-05-31,25,False
2020-06-07,10,False
2020-06-14,15,False
