date,climatisation appartement,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,10,False
2018-01-28,5,False
2018-02-04,5,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,5,False
2018-03-04,15,False
2018-03-11,0,False
2018-03-18,5,False
2018-03-25,5,False
2018-04-01,5,False
2018-04-08,10,False
2018-04-15,11,False
2018-04-22,15,False
2018-04-29,8,False
2018-05-06,18,False
2018-05-13,5,False
2018-05-20,13,False
2018-05-27,7,False
2018-06-03,7,False
2018-06-10,5,False
2018-06-17,22,False
2018-06-24,15,False
2018-07-01,26,False
2018-07-08,15,False
2018-07-15,11,False
2018-07-22,63,False
2018-07-29,86,False
2018-08-05,48,False
2018-08-12,28,False
2018-08-19,8,False
2018-08-26,5,False
2018-09-02,5,False
2018-09-09,10,False
2018-09-16,5,False
2018-09-23,7,False
2018-09-30,7,False
2018-10-07,5,False
2018-10-14,0,False
2018-10-21,5,False
2018-10-28,5,False
2018-11-04,15,False
2018-11-11,7,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,5,False
2018-12-16,5,False
2018-12-23,6,False
2018-12-30,5,False
2019-01-06,10,False
2019-01-13,7,False
2019-01-20,0,False
2019-01-27,7,False
2019-02-03,7,False
2019-02-10,7,False
2019-02-17,8,False
2019-02-24,15,False
2019-03-03,5,False
2019-03-10,7,False
2019-03-17,8,False
2019-03-24,8,False
2019-03-31,7,False
2019-04-07,7,False
2019-04-14,13,False
2019-04-21,25,False
2019-04-28,10,False
2019-05-05,14,False
2019-05-12,5,False
2019-05-19,5,False
2019-05-26,15,False
2019-06-02,23,False
2019-06-09,16,False
2019-06-16,36,False
2019-06-23,100,False
2019-06-30,29,False
2019-07-07,12,False
2019-07-14,7,False
2019-07-21,71,False
2019-07-28,8,False
2019-08-04,21,False
2019-08-11,0,False
2019-08-18,5,False
2019-08-25,7,False
2019-09-01,12,False
2019-09-08,9,False
2019-09-15,5,False
2019-09-22,4,False
2019-09-29,4,False
2019-10-06,7,False
2019-10-13,7,False
2019-10-20,5,False
2019-10-27,5,False
2019-11-03,13,False
2019-11-10,4,False
2019-11-17,4,False
2019-11-24,4,False
2019-12-01,4,False
2019-12-08,4,False
2019-12-15,13,False
2019-12-22,5,False
2019-12-29,9,False
2020-01-05,9,False
2020-01-12,4,False
2020-01-19,9,False
2020-01-26,25,False
2020-02-02,4,False
2020-02-09,6,False
2020-02-16,9,False
2020-02-23,8,False
2020-03-01,4,False
2020-03-08,0,False
2020-03-15,4,False
2020-03-22,0,False
2020-03-29,6,False
2020-04-05,4,False
2020-04-12,8,False
2020-04-19,6,False
2020-04-26,13,False
2020-05-03,23,False
2020-05-10,9,False
2020-05-17,29,False
2020-05-24,28,False
2020-05-31,28,False
2020-06-07,9,False
2020-06-14,8,False
2020-06-21,15,True
