date,Sonnensegel Dreieck,isPartial
2018-01-07,0,False
2018-01-14,9,False
2018-01-21,0,False
2018-01-28,8,False
2018-02-04,4,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,7,False
2018-03-04,4,False
2018-03-11,9,False
2018-03-18,12,False
2018-03-25,8,False
2018-04-01,14,False
2018-04-08,30,False
2018-04-15,37,False
2018-04-22,35,False
2018-04-29,32,False
2018-05-06,32,False
2018-05-13,20,False
2018-05-20,45,False
2018-05-27,39,False
2018-06-03,41,False
2018-06-10,30,False
2018-06-17,19,False
2018-06-24,25,False
2018-07-01,67,False
2018-07-08,29,False
2018-07-15,33,False
2018-07-22,39,False
2018-07-29,35,False
2018-08-05,24,False
2018-08-12,24,False
2018-08-19,16,False
2018-08-26,4,False
2018-09-02,4,False
2018-09-09,4,False
2018-09-16,9,False
2018-09-23,4,False
2018-09-30,4,False
2018-10-07,4,False
2018-10-14,11,False
2018-10-21,4,False
2018-10-28,0,False
2018-11-04,4,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,4,False
2018-12-09,4,False
2018-12-16,4,False
2018-12-23,0,False
2018-12-30,4,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,12,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,8,False
2019-02-17,4,False
2019-02-24,13,False
2019-03-03,0,False
2019-03-10,16,False
2019-03-17,4,False
2019-03-24,20,False
2019-03-31,17,False
2019-04-07,11,False
2019-04-14,30,False
2019-04-21,81,False
2019-04-28,25,False
2019-05-05,13,False
2019-05-12,13,False
2019-05-19,15,False
2019-05-26,13,False
2019-06-02,34,False
2019-06-09,18,False
2019-06-16,40,False
2019-06-23,100,False
2019-06-30,46,False
2019-07-07,15,False
2019-07-14,13,False
2019-07-21,48,False
2019-07-28,10,False
2019-08-04,10,False
2019-08-11,11,False
2019-08-18,11,False
2019-08-25,14,False
2019-09-01,11,False
2019-09-08,0,False
2019-09-15,8,False
2019-09-22,4,False
2019-09-29,4,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,4,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,4,False
2019-11-17,0,False
2019-11-24,4,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,4,False
2019-12-22,0,False
2019-12-29,4,False
2020-01-05,0,False
2020-01-12,4,False
2020-01-19,4,False
2020-01-26,4,False
2020-02-02,9,False
2020-02-09,4,False
2020-02-16,5,False
2020-02-23,4,False
2020-03-01,9,False
2020-03-08,6,False
2020-03-15,10,False
2020-03-22,12,False
2020-03-29,29,False
2020-04-05,91,False
2020-04-12,31,False
2020-04-19,37,False
2020-04-26,32,False
2020-05-03,38,False
2020-05-10,39,False
