date,Glasfabrik,isPartial
2018-01-07,23,False
2018-01-14,15,False
2018-01-21,16,False
2018-01-28,16,False
2018-02-04,24,False
2018-02-11,32,False
2018-02-18,0,False
2018-02-25,24,False
2018-03-04,63,False
2018-03-11,31,False
2018-03-18,16,False
2018-03-25,33,False
2018-04-01,34,False
2018-04-08,32,False
2018-04-15,17,False
2018-04-22,40,False
2018-04-29,41,False
2018-05-06,100,False
2018-05-13,16,False
2018-05-20,34,False
2018-05-27,24,False
2018-06-03,24,False
2018-06-10,39,False
2018-06-17,0,False
2018-06-24,16,False
2018-07-01,32,False
2018-07-08,16,False
2018-07-15,16,False
2018-07-22,33,False
2018-07-29,16,False
2018-08-05,32,False
2018-08-12,25,False
2018-08-19,16,False
2018-08-26,32,False
2018-09-02,16,False
2018-09-09,24,False
2018-09-16,32,False
2018-09-23,64,False
2018-09-30,16,False
2018-10-07,48,False
2018-10-14,16,False
2018-10-21,39,False
2018-10-28,31,False
2018-11-04,15,False
2018-11-11,23,False
2018-11-18,15,False
2018-11-25,30,False
2018-12-02,31,False
2018-12-09,31,False
2018-12-16,16,False
2018-12-23,45,False
2018-12-30,33,False
2019-01-06,29,False
2019-01-13,36,False
2019-01-20,29,False
2019-01-27,29,False
2019-02-03,15,False
2019-02-10,30,False
2019-02-17,30,False
2019-02-24,15,False
2019-03-03,15,False
2019-03-10,22,False
2019-03-17,0,False
2019-03-24,15,False
2019-03-31,15,False
2019-04-07,23,False
2019-04-14,33,False
2019-04-21,24,False
2019-04-28,22,False
2019-05-05,15,False
2019-05-12,15,False
2019-05-19,29,False
2019-05-26,15,False
2019-06-02,22,False
2019-06-09,23,False
2019-06-16,0,False
2019-06-23,23,False
2019-06-30,30,False
2019-07-07,0,False
2019-07-14,39,False
2019-07-21,49,False
2019-07-28,32,False
2019-08-04,40,False
2019-08-11,15,False
2019-08-18,15,False
2019-08-25,38,False
2019-09-01,30,False
2019-09-08,45,False
2019-09-15,15,False
2019-09-22,51,False
2019-09-29,37,False
2019-10-06,15,False
2019-10-13,22,False
2019-10-20,29,False
2019-10-27,14,False
2019-11-03,41,False
2019-11-10,42,False
2019-11-17,14,False
2019-11-24,27,False
2019-12-01,14,False
2019-12-08,21,False
2019-12-15,14,False
2019-12-22,66,False
2019-12-29,38,False
2020-01-05,40,False
2020-01-12,39,False
2020-01-19,27,False
2020-01-26,40,False
2020-02-02,27,False
2020-02-09,26,False
2020-02-16,27,False
2020-02-23,39,False
2020-03-01,19,False
2020-03-08,18,False
2020-03-15,48,False
2020-03-22,36,False
2020-03-29,36,False
2020-04-05,0,False
2020-04-12,38,False
2020-04-19,31,False
2020-04-26,36,False
2020-05-03,24,False
2020-05-10,18,False
