date,Schornsteinabdeckung,isPartial
2018-01-07,82,False
2018-01-14,58,False
2018-01-21,47,False
2018-01-28,47,False
2018-02-04,48,False
2018-02-11,72,False
2018-02-18,60,False
2018-02-25,24,False
2018-03-04,48,False
2018-03-11,47,False
2018-03-18,24,False
2018-03-25,25,False
2018-04-01,38,False
2018-04-08,37,False
2018-04-15,49,False
2018-04-22,60,False
2018-04-29,100,False
2018-05-06,0,False
2018-05-13,48,False
2018-05-20,26,False
2018-05-27,74,False
2018-06-03,60,False
2018-06-10,70,False
2018-06-17,47,False
2018-06-24,49,False
2018-07-01,47,False
2018-07-08,59,False
2018-07-15,74,False
2018-07-22,0,False
2018-07-29,49,False
2018-08-05,98,False
2018-08-12,87,False
2018-08-19,74,False
2018-08-26,37,False
2018-09-02,72,False
2018-09-09,36,False
2018-09-16,72,False
2018-09-23,85,False
2018-09-30,97,False
2018-10-07,72,False
2018-10-14,72,False
2018-10-21,83,False
2018-10-28,23,False
2018-11-04,79,False
2018-11-11,24,False
2018-11-18,45,False
2018-11-25,46,False
2018-12-02,80,False
2018-12-09,58,False
2018-12-16,0,False
2018-12-23,41,False
2018-12-30,37,False
2019-01-06,33,False
2019-01-13,87,False
2019-01-20,22,False
2019-01-27,22,False
2019-02-03,0,False
2019-02-10,22,False
2019-02-17,23,False
2019-02-24,46,False
2019-03-03,66,False
2019-03-10,56,False
2019-03-17,35,False
2019-03-24,23,False
2019-03-31,46,False
2019-04-07,45,False
2019-04-14,37,False
2019-04-21,60,False
2019-04-28,22,False
2019-05-05,44,False
2019-05-12,46,False
2019-05-19,67,False
2019-05-26,46,False
2019-06-02,79,False
2019-06-09,23,False
2019-06-16,23,False
2019-06-23,58,False
2019-06-30,46,False
2019-07-07,34,False
2019-07-14,47,False
2019-07-21,50,False
2019-07-28,72,False
2019-08-04,48,False
2019-08-11,46,False
2019-08-18,58,False
2019-08-25,46,False
2019-09-01,56,False
2019-09-08,45,False
2019-09-15,68,False
2019-09-22,77,False
2019-09-29,44,False
2019-10-06,44,False
2019-10-13,65,False
2019-10-20,22,False
2019-10-27,86,False
2019-11-03,21,False
2019-11-10,53,False
2019-11-17,74,False
2019-11-24,41,False
2019-12-01,53,False
2019-12-08,63,False
2019-12-15,32,False
2019-12-22,37,False
2019-12-29,23,False
2020-01-05,0,False
2020-01-12,20,False
2020-01-19,20,False
2020-01-26,20,False
2020-02-02,70,False
2020-02-09,98,False
2020-02-16,61,False
2020-02-23,99,False
2020-03-01,29,False
2020-03-08,37,False
2020-03-15,18,False
2020-03-22,18,False
2020-03-29,45,False
2020-04-05,40,False
2020-04-12,47,False
2020-04-19,37,False
2020-04-26,54,False
2020-05-03,54,False
2020-05-10,46,False
