date,organizzazione eventi,isPartial
2018-01-07,63,False
2018-01-14,62,False
2018-01-21,53,False
2018-01-28,70,False
2018-02-04,18,False
2018-02-11,35,False
2018-02-18,17,False
2018-02-25,66,False
2018-03-04,49,False
2018-03-11,17,False
2018-03-18,34,False
2018-03-25,27,False
2018-04-01,56,False
2018-04-08,67,False
2018-04-15,34,False
2018-04-22,36,False
2018-04-29,35,False
2018-05-06,43,False
2018-05-13,50,False
2018-05-20,67,False
2018-05-27,76,False
2018-06-03,26,False
2018-06-10,42,False
2018-06-17,35,False
2018-06-24,71,False
2018-07-01,17,False
2018-07-08,44,False
2018-07-15,18,False
2018-07-22,54,False
2018-07-29,0,False
2018-08-05,31,False
2018-08-12,23,False
2018-08-19,45,False
2018-08-26,46,False
2018-09-02,17,False
2018-09-09,82,False
2018-09-16,40,False
2018-09-23,58,False
2018-09-30,41,False
2018-10-07,25,False
2018-10-14,58,False
2018-10-21,49,False
2018-10-28,49,False
2018-11-04,16,False
2018-11-11,16,False
2018-11-18,48,False
2018-11-25,49,False
2018-12-02,17,False
2018-12-09,32,False
2018-12-16,17,False
2018-12-23,39,False
2018-12-30,29,False
2019-01-06,33,False
2019-01-13,24,False
2019-01-20,32,False
2019-01-27,78,False
2019-02-03,40,False
2019-02-10,32,False
2019-02-17,41,False
2019-02-24,17,False
2019-03-03,25,False
2019-03-10,49,False
2019-03-17,34,False
2019-03-24,26,False
2019-03-31,17,False
2019-04-07,41,False
2019-04-14,17,False
2019-04-21,19,False
2019-04-28,34,False
2019-05-05,41,False
2019-05-12,16,False
2019-05-19,48,False
2019-05-26,31,False
2019-06-02,17,False
2019-06-09,33,False
2019-06-16,17,False
2019-06-23,35,False
2019-06-30,43,False
2019-07-07,60,False
2019-07-14,17,False
2019-07-21,45,False
2019-07-28,65,False
2019-08-04,0,False
2019-08-11,45,False
2019-08-18,0,False
2019-08-25,37,False
2019-09-01,55,False
2019-09-08,49,False
2019-09-15,62,False
2019-09-22,15,False
2019-09-29,54,False
2019-10-06,55,False
2019-10-13,62,False
2019-10-20,37,False
2019-10-27,23,False
2019-11-03,29,False
2019-11-10,37,False
2019-11-17,30,False
2019-11-24,29,False
2019-12-01,31,False
2019-12-08,31,False
2019-12-15,31,False
2019-12-22,0,False
2019-12-29,18,False
2020-01-05,46,False
2020-01-12,50,False
2020-01-19,51,False
2020-01-26,100,False
2020-02-02,50,False
2020-02-09,43,False
2020-02-16,57,False
2020-02-23,13,False
2020-03-01,13,False
2020-03-08,13,False
2020-03-15,0,False
2020-03-22,13,False
2020-03-29,26,False
2020-04-05,28,False
2020-04-12,28,False
2020-04-19,47,False
2020-04-26,23,True
