date,organizzazione eventi,isPartial
2018-01-07,31,False
2018-01-14,30,False
2018-01-21,28,False
2018-01-28,59,False
2018-02-04,43,False
2018-02-11,30,False
2018-02-18,45,False
2018-02-25,29,False
2018-03-04,0,False
2018-03-11,61,False
2018-03-18,31,False
2018-03-25,32,False
2018-04-01,66,False
2018-04-08,60,False
2018-04-15,32,False
2018-04-22,32,False
2018-04-29,62,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,31,False
2018-05-27,0,False
2018-06-03,31,False
2018-06-10,0,False
2018-06-17,33,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,34,False
2018-07-15,35,False
2018-07-22,53,False
2018-07-29,37,False
2018-08-05,41,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,36,False
2018-09-02,34,False
2018-09-09,0,False
2018-09-16,66,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,100,False
2018-10-14,34,False
2018-10-21,0,False
2018-10-28,32,False
2018-11-04,0,False
2018-11-11,47,False
2018-11-18,60,False
2018-11-25,31,False
2018-12-02,31,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,37,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,57,False
2019-01-27,0,False
2019-02-03,28,False
2019-02-10,29,False
2019-02-17,29,False
2019-02-24,0,False
2019-03-03,31,False
2019-03-10,30,False
2019-03-17,0,False
2019-03-24,30,False
2019-03-31,58,False
2019-04-07,44,False
2019-04-14,30,False
2019-04-21,99,False
2019-04-28,0,False
2019-05-05,30,False
2019-05-12,29,False
2019-05-19,29,False
2019-05-26,28,False
2019-06-02,29,False
2019-06-09,29,False
2019-06-16,29,False
2019-06-23,31,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,92,False
2019-07-21,64,False
2019-07-28,33,False
2019-08-04,0,False
2019-08-11,39,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,29,False
2019-09-15,0,False
2019-09-22,57,False
2019-09-29,57,False
2019-10-06,29,False
2019-10-13,28,False
2019-10-20,0,False
2019-10-27,27,False
2019-11-03,27,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,26,False
2019-12-01,28,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,25,False
2020-02-02,0,False
2020-02-09,26,False
2020-02-16,50,False
2020-02-23,0,False
2020-03-01,24,False
2020-03-08,0,False
2020-03-15,23,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,23,False
2020-04-12,0,False
2020-04-19,22,False
2020-04-26,0,True
