date,Pflaster verlegen,isPartial
2018-01-07,30,False
2018-01-14,0,False
2018-01-21,29,False
2018-01-28,0,False
2018-02-04,30,False
2018-02-11,0,False
2018-02-18,29,False
2018-02-25,30,False
2018-03-04,30,False
2018-03-11,30,False
2018-03-18,30,False
2018-03-25,0,False
2018-04-01,78,False
2018-04-08,30,False
2018-04-15,30,False
2018-04-22,44,False
2018-04-29,51,False
2018-05-06,77,False
2018-05-13,58,False
2018-05-20,31,False
2018-05-27,49,False
2018-06-03,0,False
2018-06-10,57,False
2018-06-17,0,False
2018-06-24,30,False
2018-07-01,29,False
2018-07-08,57,False
2018-07-15,30,False
2018-07-22,31,False
2018-07-29,0,False
2018-08-05,31,False
2018-08-12,63,False
2018-08-19,30,False
2018-08-26,61,False
2018-09-02,30,False
2018-09-09,30,False
2018-09-16,0,False
2018-09-23,30,False
2018-09-30,0,False
2018-10-07,40,False
2018-10-14,30,False
2018-10-21,91,False
2018-10-28,39,False
2018-11-04,29,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,58,False
2018-12-02,29,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,34,False
2018-12-30,31,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,27,False
2019-01-27,27,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,28,False
2019-02-24,29,False
2019-03-03,0,False
2019-03-10,41,False
2019-03-17,48,False
2019-03-24,100,False
2019-03-31,0,False
2019-04-07,38,False
2019-04-14,62,False
2019-04-21,60,False
2019-04-28,28,False
2019-05-05,27,False
2019-05-12,42,False
2019-05-19,56,False
2019-05-26,38,False
2019-06-02,28,False
2019-06-09,29,False
2019-06-16,86,False
2019-06-23,0,False
2019-06-30,57,False
2019-07-07,28,False
2019-07-14,59,False
2019-07-21,32,False
2019-07-28,51,False
2019-08-04,46,False
2019-08-11,45,False
2019-08-18,0,False
2019-08-25,29,False
2019-09-01,28,False
2019-09-08,29,False
2019-09-15,28,False
2019-09-22,28,False
2019-09-29,0,False
2019-10-06,27,False
2019-10-13,83,False
2019-10-20,56,False
2019-10-27,27,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,26,False
2019-11-24,25,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,28,False
2020-01-05,0,False
2020-01-12,24,False
2020-01-19,0,False
2020-01-26,25,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,24,False
2020-03-01,48,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,34,False
2020-03-29,22,False
2020-04-05,33,False
2020-04-12,58,False
2020-04-19,90,False
2020-04-26,44,False
2020-05-03,60,False
2020-05-10,46,False
