date,videomaker,isPartial
2018-01-07,78,False
2018-01-14,39,False
2018-01-21,0,False
2018-01-28,75,False
2018-02-04,0,False
2018-02-11,39,False
2018-02-18,0,False
2018-02-25,39,False
2018-03-04,41,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,67,False
2018-04-08,42,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,41,False
2018-05-20,42,False
2018-05-27,0,False
2018-06-03,42,False
2018-06-10,0,False
2018-06-17,42,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,84,False
2018-08-05,43,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,40,False
2018-09-02,40,False
2018-09-09,42,False
2018-09-16,41,False
2018-09-23,42,False
2018-09-30,0,False
2018-10-07,43,False
2018-10-14,87,False
2018-10-21,0,False
2018-10-28,100,False
2018-11-04,40,False
2018-11-11,0,False
2018-11-18,62,False
2018-11-25,0,False
2018-12-02,44,False
2018-12-09,88,False
2018-12-16,0,False
2018-12-23,50,False
2018-12-30,45,False
2019-01-06,41,False
2019-01-13,40,False
2019-01-20,77,False
2019-01-27,76,False
2019-02-03,38,False
2019-02-10,39,False
2019-02-17,60,False
2019-02-24,0,False
2019-03-03,40,False
2019-03-10,40,False
2019-03-17,40,False
2019-03-24,41,False
2019-03-31,39,False
2019-04-07,40,False
2019-04-14,0,False
2019-04-21,41,False
2019-04-28,39,False
2019-05-05,0,False
2019-05-12,56,False
2019-05-19,38,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,40,False
2019-07-14,0,False
2019-07-21,41,False
2019-07-28,41,False
2019-08-04,44,False
2019-08-11,47,False
2019-08-18,64,False
2019-08-25,58,False
2019-09-01,37,False
2019-09-08,80,False
2019-09-15,39,False
2019-09-22,38,False
2019-09-29,0,False
2019-10-06,38,False
2019-10-13,0,False
2019-10-20,75,False
2019-10-27,37,False
2019-11-03,0,False
2019-11-10,36,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,62,False
2020-01-05,37,False
2020-01-12,35,False
2020-01-19,71,False
2020-01-26,0,False
2020-02-02,34,False
2020-02-09,0,False
2020-02-16,35,False
2020-02-23,0,False
2020-03-01,33,False
2020-03-08,32,False
2020-03-15,32,False
2020-03-22,60,False
2020-03-29,92,False
2020-04-05,32,False
2020-04-12,33,False
2020-04-19,31,False
2020-04-26,53,True
