date,videomaker,isPartial
2018-01-07,21,False
2018-01-14,52,False
2018-01-21,51,False
2018-01-28,62,False
2018-02-04,31,False
2018-02-11,62,False
2018-02-18,20,False
2018-02-25,39,False
2018-03-04,38,False
2018-03-11,20,False
2018-03-18,40,False
2018-03-25,52,False
2018-04-01,43,False
2018-04-08,40,False
2018-04-15,20,False
2018-04-22,21,False
2018-04-29,21,False
2018-05-06,20,False
2018-05-13,20,False
2018-05-20,39,False
2018-05-27,20,False
2018-06-03,20,False
2018-06-10,69,False
2018-06-17,31,False
2018-06-24,42,False
2018-07-01,41,False
2018-07-08,21,False
2018-07-15,0,False
2018-07-22,42,False
2018-07-29,45,False
2018-08-05,24,False
2018-08-12,27,False
2018-08-19,53,False
2018-08-26,32,False
2018-09-02,59,False
2018-09-09,39,False
2018-09-16,57,False
2018-09-23,39,False
2018-09-30,48,False
2018-10-07,29,False
2018-10-14,29,False
2018-10-21,38,False
2018-10-28,58,False
2018-11-04,46,False
2018-11-11,29,False
2018-11-18,37,False
2018-11-25,38,False
2018-12-02,19,False
2018-12-09,28,False
2018-12-16,39,False
2018-12-23,23,False
2018-12-30,22,False
2019-01-06,39,False
2019-01-13,28,False
2019-01-20,93,False
2019-01-27,18,False
2019-02-03,37,False
2019-02-10,66,False
2019-02-17,76,False
2019-02-24,19,False
2019-03-03,59,False
2019-03-10,48,False
2019-03-17,59,False
2019-03-24,40,False
2019-03-31,49,False
2019-04-07,0,False
2019-04-14,20,False
2019-04-21,22,False
2019-04-28,100,False
2019-05-05,58,False
2019-05-12,0,False
2019-05-19,47,False
2019-05-26,55,False
2019-06-02,20,False
2019-06-09,29,False
2019-06-16,59,False
2019-06-23,41,False
2019-06-30,0,False
2019-07-07,40,False
2019-07-14,41,False
2019-07-21,21,False
2019-07-28,44,False
2019-08-04,47,False
2019-08-11,80,False
2019-08-18,25,False
2019-08-25,33,False
2019-09-01,74,False
2019-09-08,19,False
2019-09-15,73,False
2019-09-22,18,False
2019-09-29,18,False
2019-10-06,28,False
2019-10-13,28,False
2019-10-20,35,False
2019-10-27,63,False
2019-11-03,86,False
2019-11-10,18,False
2019-11-17,44,False
2019-11-24,17,False
2019-12-01,36,False
2019-12-08,37,False
2019-12-15,46,False
2019-12-22,22,False
2019-12-29,0,False
2020-01-05,27,False
2020-01-12,17,False
2020-01-19,60,False
2020-01-26,75,False
2020-02-02,50,False
2020-02-09,25,False
2020-02-16,42,False
2020-02-23,16,False
2020-03-01,64,False
2020-03-08,31,False
2020-03-15,64,False
2020-03-22,31,False
2020-03-29,47,False
2020-04-05,41,False
2020-04-12,65,False
2020-04-19,16,False
2020-04-26,27,True
