date,panneaux photovoltaiques,isPartial
2018-01-07,65,False
2018-01-14,31,False
2018-01-21,32,False
2018-01-28,32,False
2018-02-04,31,False
2018-02-11,0,False
2018-02-18,33,False
2018-02-25,33,False
2018-03-04,32,False
2018-03-11,32,False
2018-03-18,32,False
2018-03-25,54,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,72,False
2018-04-22,35,False
2018-04-29,33,False
2018-05-06,0,False
2018-05-13,33,False
2018-05-20,35,False
2018-05-27,0,False
2018-06-03,33,False
2018-06-10,31,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,100,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,36,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,37,False
2018-08-19,36,False
2018-08-26,35,False
2018-09-02,34,False
2018-09-09,51,False
2018-09-16,51,False
2018-09-23,35,False
2018-09-30,34,False
2018-10-07,50,False
2018-10-14,67,False
2018-10-21,59,False
2018-10-28,34,False
2018-11-04,44,False
2018-11-11,50,False
2018-11-18,33,False
2018-11-25,32,False
2018-12-02,32,False
2018-12-09,99,False
2018-12-16,34,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,32,False
2019-01-13,65,False
2019-01-20,32,False
2019-01-27,0,False
2019-02-03,32,False
2019-02-10,33,False
2019-02-17,33,False
2019-02-24,34,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,67,False
2019-03-24,32,False
2019-03-31,63,False
2019-04-07,49,False
2019-04-14,30,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,32,False
2019-05-12,32,False
2019-05-19,31,False
2019-05-26,33,False
2019-06-02,31,False
2019-06-09,31,False
2019-06-16,31,False
2019-06-23,42,False
2019-06-30,32,False
2019-07-07,47,False
2019-07-14,0,False
2019-07-21,47,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,29,False
2019-08-18,31,False
2019-08-25,0,False
2019-09-01,47,False
2019-09-08,0,False
2019-09-15,30,False
2019-09-22,59,False
2019-09-29,43,False
2019-10-06,26,False
2019-10-13,26,False
2019-10-20,0,False
2019-10-27,46,False
2019-11-03,57,False
2019-11-10,28,False
2019-11-17,26,False
2019-11-24,25,False
2019-12-01,0,False
2019-12-08,25,False
2019-12-15,25,False
2019-12-22,28,False
2019-12-29,54,False
2020-01-05,48,False
2020-01-12,24,False
2020-01-19,37,False
2020-01-26,24,False
2020-02-02,25,False
2020-02-09,38,False
2020-02-16,25,False
2020-02-23,23,False
2020-03-01,0,False
2020-03-08,71,False
2020-03-15,22,False
2020-03-22,0,False
2020-03-29,32,False
2020-04-05,22,False
2020-04-12,0,False
2020-04-19,31,False
2020-04-26,0,False
2020-05-03,28,False
2020-05-10,21,False
2020-05-17,27,True
