date,panneaux photovoltaiques,isPartial
2018-01-07,28,False
2018-01-14,27,False
2018-01-21,28,False
2018-01-28,28,False
2018-02-04,100,False
2018-02-11,29,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,28,False
2018-03-11,57,False
2018-03-18,38,False
2018-03-25,29,False
2018-04-01,60,False
2018-04-08,43,False
2018-04-15,31,False
2018-04-22,0,False
2018-04-29,27,False
2018-05-06,0,False
2018-05-13,28,False
2018-05-20,29,False
2018-05-27,82,False
2018-06-03,27,False
2018-06-10,26,False
2018-06-17,28,False
2018-06-24,0,False
2018-07-01,27,False
2018-07-08,27,False
2018-07-15,27,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,25,False
2018-08-12,26,False
2018-08-19,27,False
2018-08-26,0,False
2018-09-02,27,False
2018-09-09,0,False
2018-09-16,55,False
2018-09-23,29,False
2018-09-30,0,False
2018-10-07,59,False
2018-10-14,29,False
2018-10-21,29,False
2018-10-28,57,False
2018-11-04,41,False
2018-11-11,28,False
2018-11-18,0,False
2018-11-25,28,False
2018-12-02,28,False
2018-12-09,57,False
2018-12-16,29,False
2018-12-23,32,False
2018-12-30,61,False
2019-01-06,28,False
2019-01-13,28,False
2019-01-20,27,False
2019-01-27,53,False
2019-02-03,55,False
2019-02-10,0,False
2019-02-17,45,False
2019-02-24,0,False
2019-03-03,28,False
2019-03-10,0,False
2019-03-17,29,False
2019-03-24,28,False
2019-03-31,50,False
2019-04-07,73,False
2019-04-14,0,False
2019-04-21,50,False
2019-04-28,23,False
2019-05-05,36,False
2019-05-12,35,False
2019-05-19,23,False
2019-05-26,24,False
2019-06-02,22,False
2019-06-09,0,False
2019-06-16,23,False
2019-06-23,0,False
2019-06-30,44,False
2019-07-07,22,False
2019-07-14,22,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,35,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,45,False
2019-09-01,69,False
2019-09-08,0,False
2019-09-15,32,False
2019-09-22,21,False
2019-09-29,32,False
2019-10-06,23,False
2019-10-13,34,False
2019-10-20,0,False
2019-10-27,33,False
2019-11-03,42,False
2019-11-10,22,False
2019-11-17,0,False
2019-11-24,30,False
2019-12-01,0,False
2019-12-08,22,False
2019-12-15,22,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,43,False
2020-01-12,21,False
2020-01-19,21,False
2020-01-26,53,False
2020-02-02,0,False
2020-02-09,21,False
2020-02-16,32,False
2020-02-23,21,False
2020-03-01,42,False
2020-03-08,0,False
2020-03-15,20,False
2020-03-22,0,False
2020-03-29,19,False
2020-04-05,19,False
2020-04-12,19,False
2020-04-19,19,False
2020-04-26,30,False
2020-05-03,37,False
2020-05-10,19,False
2020-05-17,24,True
