date,Mago,isPartial
2018-01-07,8,False
2018-01-14,8,False
2018-01-21,8,False
2018-01-28,12,False
2018-02-04,17,False
2018-02-11,10,False
2018-02-18,11,False
2018-02-25,13,False
2018-03-04,10,False
2018-03-11,12,False
2018-03-18,9,False
2018-03-25,9,False
2018-04-01,3,False
2018-04-08,10,False
2018-04-15,3,False
2018-04-22,11,False
2018-04-29,11,False
2018-05-06,5,False
2018-05-13,6,False
2018-05-20,11,False
2018-05-27,3,False
2018-06-03,4,False
2018-06-10,12,False
2018-06-17,7,False
2018-06-24,12,False
2018-07-01,6,False
2018-07-08,8,False
2018-07-15,4,False
2018-07-22,7,False
2018-07-29,13,False
2018-08-05,1,False
2018-08-12,4,False
2018-08-19,7,False
2018-08-26,4,False
2018-09-02,3,False
2018-09-09,10,False
2018-09-16,5,False
2018-09-23,17,False
2018-09-30,12,False
2018-10-07,8,False
2018-10-14,9,False
2018-10-21,9,False
2018-10-28,12,False
2018-11-04,6,False
2018-11-11,12,False
2018-11-18,11,False
2018-11-25,17,False
2018-12-02,20,False
2018-12-09,16,False
2018-12-16,7,False
2018-12-23,16,False
2018-12-30,19,False
2019-01-06,13,False
2019-01-13,19,False
2019-01-20,12,False
2019-01-27,13,False
2019-02-03,8,False
2019-02-10,9,False
2019-02-17,16,False
2019-02-24,13,False
2019-03-03,11,False
2019-03-10,15,False
2019-03-17,16,False
2019-03-24,16,False
2019-03-31,9,False
2019-04-07,13,False
2019-04-14,12,False
2019-04-21,9,False
2019-04-28,8,False
2019-05-05,10,False
2019-05-12,15,False
2019-05-19,9,False
2019-05-26,12,False
2019-06-02,1,False
2019-06-09,16,False
2019-06-16,15,False
2019-06-23,20,False
2019-06-30,19,False
2019-07-07,15,False
2019-07-14,11,False
2019-07-21,7,False
2019-07-28,8,False
2019-08-04,18,False
2019-08-11,24,False
2019-08-18,9,False
2019-08-25,100,False
2019-09-01,28,False
2019-09-08,7,False
2019-09-15,12,False
2019-09-22,9,False
2019-09-29,10,False
2019-10-06,12,False
2019-10-13,14,False
2019-10-20,11,False
2019-10-27,8,False
2019-11-03,12,False
2019-11-10,11,False
2019-11-17,8,False
2019-11-24,4,False
2019-12-01,8,False
2019-12-08,8,False
2019-12-15,10,False
2019-12-22,16,False
2019-12-29,13,False
2020-01-05,13,False
2020-01-12,2,False
2020-01-19,7,False
2020-01-26,14,False
2020-02-02,5,False
2020-02-09,17,False
2020-02-16,10,False
2020-02-23,10,False
2020-03-01,4,False
2020-03-08,10,False
2020-03-15,10,False
2020-03-22,6,False
2020-03-29,9,False
2020-04-05,11,False
2020-04-12,2,True
