date,Mago,isPartial
2018-01-07,12,False
2018-01-14,12,False
2018-01-21,16,False
2018-01-28,20,False
2018-02-04,16,False
2018-02-11,12,False
2018-02-18,16,False
2018-02-25,8,False
2018-03-04,12,False
2018-03-11,12,False
2018-03-18,20,False
2018-03-25,9,False
2018-04-01,9,False
2018-04-08,15,False
2018-04-15,8,False
2018-04-22,16,False
2018-04-29,28,False
2018-05-06,8,False
2018-05-13,12,False
2018-05-20,12,False
2018-05-27,24,False
2018-06-03,8,False
2018-06-10,12,False
2018-06-17,9,False
2018-06-24,9,False
2018-07-01,18,False
2018-07-08,15,False
2018-07-15,9,False
2018-07-22,9,False
2018-07-29,18,False
2018-08-05,13,False
2018-08-12,9,False
2018-08-19,18,False
2018-08-26,9,False
2018-09-02,16,False
2018-09-09,8,False
2018-09-16,16,False
2018-09-23,20,False
2018-09-30,8,False
2018-10-07,24,False
2018-10-14,8,False
2018-10-21,24,False
2018-10-28,32,False
2018-11-04,19,False
2018-11-11,31,False
2018-11-18,11,False
2018-11-25,16,False
2018-12-02,17,False
2018-12-09,32,False
2018-12-16,16,False
2018-12-23,37,False
2018-12-30,13,False
2019-01-06,23,False
2019-01-13,8,False
2019-01-20,7,False
2019-01-27,18,False
2019-02-03,15,False
2019-02-10,12,False
2019-02-17,12,False
2019-02-24,12,False
2019-03-03,28,False
2019-03-10,15,False
2019-03-17,23,False
2019-03-24,8,False
2019-03-31,26,False
2019-04-07,11,False
2019-04-14,29,False
2019-04-21,20,False
2019-04-28,26,False
2019-05-05,15,False
2019-05-12,7,False
2019-05-19,15,False
2019-05-26,7,False
2019-06-02,15,False
2019-06-09,37,False
2019-06-16,31,False
2019-06-23,20,False
2019-06-30,38,False
2019-07-07,13,False
2019-07-14,9,False
2019-07-21,0,False
2019-07-28,17,False
2019-08-04,22,False
2019-08-11,13,False
2019-08-18,12,False
2019-08-25,100,False
2019-09-01,26,False
2019-09-08,15,False
2019-09-15,14,False
2019-09-22,11,False
2019-09-29,7,False
2019-10-06,21,False
2019-10-13,10,False
2019-10-20,7,False
2019-10-27,17,False
2019-11-03,19,False
2019-11-10,6,False
2019-11-17,13,False
2019-11-24,20,False
2019-12-01,11,False
2019-12-08,13,False
2019-12-15,17,False
2019-12-22,34,False
2019-12-29,30,False
2020-01-05,17,False
2020-01-12,12,False
2020-01-19,25,False
2020-01-26,13,False
2020-02-02,10,False
2020-02-09,35,False
2020-02-16,26,False
2020-02-23,31,False
2020-03-01,27,False
2020-03-08,29,False
2020-03-15,14,False
2020-03-22,20,False
2020-03-29,5,False
2020-04-05,24,False
2020-04-12,14,True
