date,Mago,isPartial
2018-01-07,13,False
2018-01-14,11,False
2018-01-21,11,False
2018-01-28,10,False
2018-02-04,9,False
2018-02-11,9,False
2018-02-18,7,False
2018-02-25,9,False
2018-03-04,7,False
2018-03-11,7,False
2018-03-18,7,False
2018-03-25,7,False
2018-04-01,6,False
2018-04-08,7,False
2018-04-15,8,False
2018-04-22,9,False
2018-04-29,8,False
2018-05-06,8,False
2018-05-13,5,False
2018-05-20,9,False
2018-05-27,8,False
2018-06-03,6,False
2018-06-10,7,False
2018-06-17,6,False
2018-06-24,9,False
2018-07-01,7,False
2018-07-08,8,False
2018-07-15,7,False
2018-07-22,6,False
2018-07-29,11,False
2018-08-05,10,False
2018-08-12,8,False
2018-08-19,6,False
2018-08-26,9,False
2018-09-02,8,False
2018-09-09,7,False
2018-09-16,9,False
2018-09-23,7,False
2018-09-30,8,False
2018-10-07,9,False
2018-10-14,9,False
2018-10-21,9,False
2018-10-28,7,False
2018-11-04,7,False
2018-11-11,9,False
2018-11-18,9,False
2018-11-25,12,False
2018-12-02,9,False
2018-12-09,13,False
2018-12-16,13,False
2018-12-23,12,False
2018-12-30,20,False
2019-01-06,15,False
2019-01-13,9,False
2019-01-20,9,False
2019-01-27,6,False
2019-02-03,8,False
2019-02-10,10,False
2019-02-17,8,False
2019-02-24,9,False
2019-03-03,11,False
2019-03-10,8,False
2019-03-17,9,False
2019-03-24,6,False
2019-03-31,5,False
2019-04-07,8,False
2019-04-14,8,False
2019-04-21,9,False
2019-04-28,7,False
2019-05-05,6,False
2019-05-12,8,False
2019-05-19,8,False
2019-05-26,7,False
2019-06-02,8,False
2019-06-09,8,False
2019-06-16,13,False
2019-06-23,7,False
2019-06-30,8,False
2019-07-07,7,False
2019-07-14,7,False
2019-07-21,6,False
2019-07-28,8,False
2019-08-04,8,False
2019-08-11,9,False
2019-08-18,8,False
2019-08-25,100,False
2019-09-01,15,False
2019-09-08,9,False
2019-09-15,14,False
2019-09-22,10,False
2019-09-29,9,False
2019-10-06,8,False
2019-10-13,11,False
2019-10-20,9,False
2019-10-27,10,False
2019-11-03,11,False
2019-11-10,8,False
2019-11-17,7,False
2019-11-24,7,False
2019-12-01,13,False
2019-12-08,14,False
2019-12-15,15,False
2019-12-22,12,False
2019-12-29,14,False
2020-01-05,21,False
2020-01-12,10,False
2020-01-19,9,False
2020-01-26,9,False
2020-02-02,9,False
2020-02-09,8,False
2020-02-16,7,False
2020-02-23,6,False
2020-03-01,6,False
2020-03-08,15,False
2020-03-15,11,False
2020-03-22,9,False
2020-03-29,9,False
2020-04-05,15,False
2020-04-12,9,True
