date,Dachboden ausbauen,isPartial
2018-01-07,88,False
2018-01-14,37,False
2018-01-21,94,False
2018-01-28,93,False
2018-02-04,39,False
2018-02-11,38,False
2018-02-18,38,False
2018-02-25,38,False
2018-03-04,38,False
2018-03-11,57,False
2018-03-18,57,False
2018-03-25,67,False
2018-04-01,40,False
2018-04-08,0,False
2018-04-15,39,False
2018-04-22,0,False
2018-04-29,79,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,40,False
2018-05-27,57,False
2018-06-03,38,False
2018-06-10,36,False
2018-06-17,37,False
2018-06-24,38,False
2018-07-01,37,False
2018-07-08,54,False
2018-07-15,39,False
2018-07-22,0,False
2018-07-29,40,False
2018-08-05,80,False
2018-08-12,80,False
2018-08-19,39,False
2018-08-26,38,False
2018-09-02,51,False
2018-09-09,38,False
2018-09-16,38,False
2018-09-23,78,False
2018-09-30,39,False
2018-10-07,77,False
2018-10-14,39,False
2018-10-21,39,False
2018-10-28,63,False
2018-11-04,55,False
2018-11-11,74,False
2018-11-18,36,False
2018-11-25,37,False
2018-12-02,37,False
2018-12-09,36,False
2018-12-16,38,False
2018-12-23,43,False
2018-12-30,0,False
2019-01-06,35,False
2019-01-13,35,False
2019-01-20,35,False
2019-01-27,35,False
2019-02-03,35,False
2019-02-10,48,False
2019-02-17,36,False
2019-02-24,36,False
2019-03-03,71,False
2019-03-10,34,False
2019-03-17,36,False
2019-03-24,36,False
2019-03-31,36,False
2019-04-07,36,False
2019-04-14,39,False
2019-04-21,39,False
2019-04-28,36,False
2019-05-05,53,False
2019-05-12,54,False
2019-05-19,0,False
2019-05-26,37,False
2019-06-02,36,False
2019-06-09,37,False
2019-06-16,73,False
2019-06-23,37,False
2019-06-30,48,False
2019-07-07,36,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,40,False
2019-08-04,0,False
2019-08-11,38,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,59,False
2019-09-08,60,False
2019-09-15,0,False
2019-09-22,53,False
2019-09-29,36,False
2019-10-06,35,False
2019-10-13,35,False
2019-10-20,35,False
2019-10-27,35,False
2019-11-03,100,False
2019-11-10,50,False
2019-11-17,44,False
2019-11-24,32,False
2019-12-01,34,False
2019-12-08,50,False
2019-12-15,34,False
2019-12-22,52,False
2019-12-29,55,False
2020-01-05,32,False
2020-01-12,52,False
2020-01-19,65,False
2020-01-26,32,False
2020-02-02,47,False
2020-02-09,31,False
2020-02-16,64,False
2020-02-23,31,False
2020-03-01,31,False
2020-03-08,29,False
2020-03-15,29,False
2020-03-22,29,False
2020-03-29,38,False
2020-04-05,63,False
2020-04-12,44,False
2020-04-19,44,False
2020-04-26,85,False
2020-05-03,39,False
2020-05-10,29,False
