date,desatascar lavavajillas,isPartial
2018-01-07,0,False
2018-01-14,100,False
2018-01-21,25,False
2018-01-28,24,False
2018-02-04,24,False
2018-02-11,0,False
2018-02-18,25,False
2018-02-25,24,False
2018-03-04,0,False
2018-03-11,40,False
2018-03-18,0,False
2018-03-25,55,False
2018-04-01,25,False
2018-04-08,24,False
2018-04-15,25,False
2018-04-22,0,False
2018-04-29,25,False
2018-05-06,24,False
2018-05-13,25,False
2018-05-20,24,False
2018-05-27,36,False
2018-06-03,47,False
2018-06-10,46,False
2018-06-17,26,False
2018-06-24,25,False
2018-07-01,25,False
2018-07-08,25,False
2018-07-15,26,False
2018-07-22,26,False
2018-07-29,26,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,27,False
2018-08-26,0,False
2018-09-02,24,False
2018-09-09,24,False
2018-09-16,40,False
2018-09-23,48,False
2018-09-30,24,False
2018-10-07,50,False
2018-10-14,35,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,23,False
2018-11-11,23,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,25,False
2018-12-16,25,False
2018-12-23,28,False
2018-12-30,41,False
2019-01-06,24,False
2019-01-13,35,False
2019-01-20,45,False
2019-01-27,22,False
2019-02-03,48,False
2019-02-10,36,False
2019-02-17,24,False
2019-02-24,35,False
2019-03-03,24,False
2019-03-10,24,False
2019-03-17,49,False
2019-03-24,49,False
2019-03-31,23,False
2019-04-07,23,False
2019-04-14,50,False
2019-04-21,47,False
2019-04-28,24,False
2019-05-05,31,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,34,False
2019-06-02,67,False
2019-06-09,23,False
2019-06-16,24,False
2019-06-23,41,False
2019-06-30,40,False
2019-07-07,23,False
2019-07-14,24,False
2019-07-21,24,False
2019-07-28,51,False
2019-08-04,25,False
2019-08-11,26,False
2019-08-18,62,False
2019-08-25,0,False
2019-09-01,45,False
2019-09-08,33,False
2019-09-15,44,False
2019-09-22,44,False
2019-09-29,22,False
2019-10-06,22,False
2019-10-13,21,False
2019-10-20,50,False
2019-10-27,33,False
2019-11-03,21,False
2019-11-10,42,False
2019-11-17,28,False
2019-11-24,31,False
2019-12-01,66,False
2019-12-08,22,False
2019-12-15,32,False
2019-12-22,24,False
2019-12-29,35,False
2020-01-05,0,False
2020-01-12,20,False
2020-01-19,20,False
2020-01-26,51,False
2020-02-02,51,False
2020-02-09,34,False
2020-02-16,27,False
2020-02-23,27,False
2020-03-01,20,False
2020-03-08,19,False
2020-03-15,19,False
2020-03-22,27,False
2020-03-29,35,False
2020-04-05,19,False
2020-04-12,36,False
2020-04-19,18,False
2020-04-26,18,False
2020-05-03,35,False
2020-05-10,36,False
2020-05-17,28,True
