date,Hausmeisterdienste,isPartial
2018-01-07,29,False
2018-01-14,0,False
2018-01-21,29,False
2018-01-28,28,False
2018-02-04,29,False
2018-02-11,29,False
2018-02-18,29,False
2018-02-25,0,False
2018-03-04,29,False
2018-03-11,28,False
2018-03-18,28,False
2018-03-25,0,False
2018-04-01,61,False
2018-04-08,29,False
2018-04-15,0,False
2018-04-22,57,False
2018-04-29,60,False
2018-05-06,0,False
2018-05-13,28,False
2018-05-20,0,False
2018-05-27,29,False
2018-06-03,29,False
2018-06-10,27,False
2018-06-17,28,False
2018-06-24,43,False
2018-07-01,57,False
2018-07-08,0,False
2018-07-15,29,False
2018-07-22,30,False
2018-07-29,30,False
2018-08-05,46,False
2018-08-12,60,False
2018-08-19,29,False
2018-08-26,29,False
2018-09-02,29,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,29,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,30,False
2018-10-21,0,False
2018-10-28,57,False
2018-11-04,0,False
2018-11-11,42,False
2018-11-18,0,False
2018-11-25,28,False
2018-12-02,27,False
2018-12-09,0,False
2018-12-16,57,False
2018-12-23,32,False
2018-12-30,45,False
2019-01-06,27,False
2019-01-13,26,False
2019-01-20,26,False
2019-01-27,35,False
2019-02-03,27,False
2019-02-10,27,False
2019-02-17,0,False
2019-02-24,56,False
2019-03-03,0,False
2019-03-10,26,False
2019-03-17,0,False
2019-03-24,37,False
2019-03-31,0,False
2019-04-07,28,False
2019-04-14,40,False
2019-04-21,29,False
2019-04-28,55,False
2019-05-05,27,False
2019-05-12,28,False
2019-05-19,0,False
2019-05-26,28,False
2019-06-02,54,False
2019-06-09,28,False
2019-06-16,28,False
2019-06-23,28,False
2019-06-30,0,False
2019-07-07,27,False
2019-07-14,48,False
2019-07-21,0,False
2019-07-28,30,False
2019-08-04,30,False
2019-08-11,0,False
2019-08-18,29,False
2019-08-25,0,False
2019-09-01,54,False
2019-09-08,0,False
2019-09-15,28,False
2019-09-22,0,False
2019-09-29,27,False
2019-10-06,40,False
2019-10-13,27,False
2019-10-20,40,False
2019-10-27,26,False
2019-11-03,0,False
2019-11-10,38,False
2019-11-17,25,False
2019-11-24,25,False
2019-12-01,50,False
2019-12-08,100,False
2019-12-15,51,False
2019-12-22,29,False
2019-12-29,28,False
2020-01-05,25,False
2020-01-12,23,False
2020-01-19,24,False
2020-01-26,24,False
2020-02-02,36,False
2020-02-09,0,False
2020-02-16,24,False
2020-02-23,46,False
2020-03-01,24,False
2020-03-08,22,False
2020-03-15,33,False
2020-03-22,22,False
2020-03-29,0,False
2020-04-05,47,False
2020-04-12,0,False
2020-04-19,22,False
2020-04-26,43,False
2020-05-03,0,False
2020-05-10,33,False
