date,Hausmeisterdienste,isPartial
2018-01-07,27,False
2018-01-14,14,False
2018-01-21,61,False
2018-01-28,20,False
2018-02-04,21,False
2018-02-11,56,False
2018-02-18,28,False
2018-02-25,48,False
2018-03-04,35,False
2018-03-11,55,False
2018-03-18,42,False
2018-03-25,15,False
2018-04-01,30,False
2018-04-08,100,False
2018-04-15,29,False
2018-04-22,56,False
2018-04-29,15,False
2018-05-06,30,False
2018-05-13,21,False
2018-05-20,15,False
2018-05-27,43,False
2018-06-03,28,False
2018-06-10,34,False
2018-06-17,21,False
2018-06-24,14,False
2018-07-01,21,False
2018-07-08,14,False
2018-07-15,14,False
2018-07-22,43,False
2018-07-29,29,False
2018-08-05,0,False
2018-08-12,73,False
2018-08-19,50,False
2018-08-26,36,False
2018-09-02,49,False
2018-09-09,56,False
2018-09-16,49,False
2018-09-23,22,False
2018-09-30,56,False
2018-10-07,35,False
2018-10-14,35,False
2018-10-21,69,False
2018-10-28,48,False
2018-11-04,73,False
2018-11-11,27,False
2018-11-18,53,False
2018-11-25,41,False
2018-12-02,47,False
2018-12-09,41,False
2018-12-16,35,False
2018-12-23,32,False
2018-12-30,43,False
2019-01-06,39,False
2019-01-13,51,False
2019-01-20,45,False
2019-01-27,44,False
2019-02-03,65,False
2019-02-10,26,False
2019-02-17,20,False
2019-02-24,81,False
2019-03-03,33,False
2019-03-10,58,False
2019-03-17,54,False
2019-03-24,34,False
2019-03-31,60,False
2019-04-07,33,False
2019-04-14,36,False
2019-04-21,42,False
2019-04-28,26,False
2019-05-05,45,False
2019-05-12,20,False
2019-05-19,20,False
2019-05-26,27,False
2019-06-02,26,False
2019-06-09,27,False
2019-06-16,47,False
2019-06-23,20,False
2019-06-30,60,False
2019-07-07,33,False
2019-07-14,69,False
2019-07-21,0,False
2019-07-28,14,False
2019-08-04,14,False
2019-08-11,54,False
2019-08-18,27,False
2019-08-25,27,False
2019-09-01,39,False
2019-09-08,26,False
2019-09-15,26,False
2019-09-22,26,False
2019-09-29,52,False
2019-10-06,65,False
2019-10-13,64,False
2019-10-20,32,False
2019-10-27,25,False
2019-11-03,24,False
2019-11-10,49,False
2019-11-17,24,False
2019-11-24,42,False
2019-12-01,19,False
2019-12-08,31,False
2019-12-15,19,False
2019-12-22,14,False
2019-12-29,40,False
2020-01-05,24,False
2020-01-12,17,False
2020-01-19,24,False
2020-01-26,23,False
2020-02-02,35,False
2020-02-09,23,False
2020-02-16,30,False
2020-02-23,46,False
2020-03-01,57,False
2020-03-08,22,False
2020-03-15,53,False
2020-03-22,26,False
2020-03-29,31,False
2020-04-05,40,False
2020-04-12,39,False
2020-04-19,32,False
2020-04-26,26,False
2020-05-03,32,False
2020-05-10,21,False
