date,abiti sposa,isPartial
2018-01-07,36,False
2018-01-14,72,False
2018-01-21,71,False
2018-01-28,35,False
2018-02-04,17,False
2018-02-11,17,False
2018-02-18,17,False
2018-02-25,33,False
2018-03-04,60,False
2018-03-11,42,False
2018-03-18,54,False
2018-03-25,27,False
2018-04-01,36,False
2018-04-08,26,False
2018-04-15,36,False
2018-04-22,90,False
2018-04-29,59,False
2018-05-06,77,False
2018-05-13,17,False
2018-05-20,52,False
2018-05-27,51,False
2018-06-03,60,False
2018-06-10,81,False
2018-06-17,86,False
2018-06-24,68,False
2018-07-01,33,False
2018-07-08,40,False
2018-07-15,24,False
2018-07-22,48,False
2018-07-29,50,False
2018-08-05,40,False
2018-08-12,46,False
2018-08-19,49,False
2018-08-26,50,False
2018-09-02,51,False
2018-09-09,69,False
2018-09-16,77,False
2018-09-23,52,False
2018-09-30,35,False
2018-10-07,35,False
2018-10-14,37,False
2018-10-21,80,False
2018-10-28,34,False
2018-11-04,59,False
2018-11-11,0,False
2018-11-18,35,False
2018-11-25,36,False
2018-12-02,37,False
2018-12-09,28,False
2018-12-16,0,False
2018-12-23,62,False
2018-12-30,57,False
2019-01-06,100,False
2019-01-13,78,False
2019-01-20,65,False
2019-01-27,39,False
2019-02-03,33,False
2019-02-10,42,False
2019-02-17,35,False
2019-02-24,43,False
2019-03-03,33,False
2019-03-10,33,False
2019-03-17,50,False
2019-03-24,42,False
2019-03-31,33,False
2019-04-07,50,False
2019-04-14,17,False
2019-04-21,53,False
2019-04-28,32,False
2019-05-05,63,False
2019-05-12,32,False
2019-05-19,16,False
2019-05-26,30,False
2019-06-02,58,False
2019-06-09,55,False
2019-06-16,16,False
2019-06-23,48,False
2019-06-30,47,False
2019-07-07,30,False
2019-07-14,15,False
2019-07-21,46,False
2019-07-28,39,False
2019-08-04,45,False
2019-08-11,45,False
2019-08-18,0,False
2019-08-25,58,False
2019-09-01,37,False
2019-09-08,47,False
2019-09-15,53,False
2019-09-22,45,False
2019-09-29,46,False
2019-10-06,54,False
2019-10-13,60,False
2019-10-20,43,False
2019-10-27,60,False
2019-11-03,29,False
2019-11-10,84,False
2019-11-17,43,False
2019-11-24,15,False
2019-12-01,23,False
2019-12-08,0,False
2019-12-15,24,False
2019-12-22,19,False
2019-12-29,51,False
2020-01-05,47,False
2020-01-12,44,False
2020-01-19,70,False
2020-01-26,38,False
2020-02-02,81,False
2020-02-09,23,False
2020-02-16,53,False
2020-02-23,35,False
2020-03-01,49,False
2020-03-08,26,False
2020-03-15,20,False
2020-03-22,19,False
2020-03-29,52,False
2020-04-05,33,False
2020-04-12,20,False
2020-04-19,25,False
2020-04-26,22,True
