date,abiti sposa,isPartial
2018-01-07,39,False
2018-01-14,70,False
2018-01-21,82,False
2018-01-28,72,False
2018-02-04,42,False
2018-02-11,47,False
2018-02-18,33,False
2018-02-25,44,False
2018-03-04,42,False
2018-03-11,43,False
2018-03-18,25,False
2018-03-25,18,False
2018-04-01,18,False
2018-04-08,31,False
2018-04-15,35,False
2018-04-22,46,False
2018-04-29,36,False
2018-05-06,31,False
2018-05-13,39,False
2018-05-20,48,False
2018-05-27,41,False
2018-06-03,58,False
2018-06-10,74,False
2018-06-17,30,False
2018-06-24,42,False
2018-07-01,34,False
2018-07-08,50,False
2018-07-15,59,False
2018-07-22,33,False
2018-07-29,29,False
2018-08-05,32,False
2018-08-12,29,False
2018-08-19,44,False
2018-08-26,42,False
2018-09-02,100,False
2018-09-09,55,False
2018-09-16,47,False
2018-09-23,60,False
2018-09-30,38,False
2018-10-07,45,False
2018-10-14,36,False
2018-10-21,66,False
2018-10-28,44,False
2018-11-04,13,False
2018-11-11,40,False
2018-11-18,30,False
2018-11-25,30,False
2018-12-02,14,False
2018-12-09,18,False
2018-12-16,18,False
2018-12-23,24,False
2018-12-30,26,False
2019-01-06,38,False
2019-01-13,21,False
2019-01-20,35,False
2019-01-27,31,False
2019-02-03,57,False
2019-02-10,47,False
2019-02-17,61,False
2019-02-24,28,False
2019-03-03,63,False
2019-03-10,40,False
2019-03-17,13,False
2019-03-24,20,False
2019-03-31,36,False
2019-04-07,20,False
2019-04-14,25,False
2019-04-21,21,False
2019-04-28,19,False
2019-05-05,32,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,22,False
2019-06-02,33,False
2019-06-09,12,False
2019-06-16,29,False
2019-06-23,41,False
2019-06-30,28,False
2019-07-07,27,False
2019-07-14,39,False
2019-07-21,36,False
2019-07-28,31,False
2019-08-04,66,False
2019-08-11,20,False
2019-08-18,11,False
2019-08-25,27,False
2019-09-01,44,False
2019-09-08,37,False
2019-09-15,26,False
2019-09-22,37,False
2019-09-29,23,False
2019-10-06,54,False
2019-10-13,58,False
2019-10-20,26,False
2019-10-27,41,False
2019-11-03,33,False
2019-11-10,33,False
2019-11-17,38,False
2019-11-24,29,False
2019-12-01,34,False
2019-12-08,27,False
2019-12-15,11,False
2019-12-22,16,False
2019-12-29,35,False
2020-01-05,26,False
2020-01-12,39,False
2020-01-19,43,False
2020-01-26,11,False
2020-02-02,34,False
2020-02-09,7,False
2020-02-16,21,False
2020-02-23,10,False
2020-03-01,20,False
2020-03-08,9,False
2020-03-15,12,False
2020-03-22,17,False
2020-03-29,6,False
2020-04-05,6,False
2020-04-12,18,False
2020-04-19,8,False
2020-04-26,10,True
