date,abiti sposa,isPartial
2018-01-07,24,False
2018-01-14,63,False
2018-01-21,65,False
2018-01-28,40,False
2018-02-04,48,False
2018-02-11,66,False
2018-02-18,31,False
2018-02-25,22,False
2018-03-04,41,False
2018-03-11,39,False
2018-03-18,55,False
2018-03-25,17,False
2018-04-01,50,False
2018-04-08,50,False
2018-04-15,51,False
2018-04-22,45,False
2018-04-29,16,False
2018-05-06,49,False
2018-05-13,34,False
2018-05-20,42,False
2018-05-27,50,False
2018-06-03,56,False
2018-06-10,30,False
2018-06-17,33,False
2018-06-24,17,False
2018-07-01,33,False
2018-07-08,33,False
2018-07-15,25,False
2018-07-22,57,False
2018-07-29,32,False
2018-08-05,47,False
2018-08-12,28,False
2018-08-19,38,False
2018-08-26,31,False
2018-09-02,65,False
2018-09-09,42,False
2018-09-16,50,False
2018-09-23,85,False
2018-09-30,40,False
2018-10-07,61,False
2018-10-14,36,False
2018-10-21,35,False
2018-10-28,34,False
2018-11-04,26,False
2018-11-11,18,False
2018-11-18,69,False
2018-11-25,35,False
2018-12-02,55,False
2018-12-09,36,False
2018-12-16,37,False
2018-12-23,50,False
2018-12-30,51,False
2019-01-06,34,False
2019-01-13,17,False
2019-01-20,32,False
2019-01-27,42,False
2019-02-03,33,False
2019-02-10,50,False
2019-02-17,42,False
2019-02-24,43,False
2019-03-03,18,False
2019-03-10,18,False
2019-03-17,36,False
2019-03-24,45,False
2019-03-31,27,False
2019-04-07,26,False
2019-04-14,28,False
2019-04-21,46,False
2019-04-28,52,False
2019-05-05,35,False
2019-05-12,34,False
2019-05-19,35,False
2019-05-26,56,False
2019-06-02,54,False
2019-06-09,54,False
2019-06-16,35,False
2019-06-23,18,False
2019-06-30,18,False
2019-07-07,33,False
2019-07-14,51,False
2019-07-21,69,False
2019-07-28,33,False
2019-08-04,33,False
2019-08-11,31,False
2019-08-18,21,False
2019-08-25,21,False
2019-09-01,38,False
2019-09-08,33,False
2019-09-15,39,False
2019-09-22,23,False
2019-09-29,77,False
2019-10-06,39,False
2019-10-13,56,False
2019-10-20,62,False
2019-10-27,38,False
2019-11-03,29,False
2019-11-10,44,False
2019-11-17,15,False
2019-11-24,37,False
2019-12-01,45,False
2019-12-08,15,False
2019-12-15,0,False
2019-12-22,17,False
2019-12-29,16,False
2020-01-05,22,False
2020-01-12,69,False
2020-01-19,100,False
2020-01-26,42,False
2020-02-02,27,False
2020-02-09,28,False
2020-02-16,28,False
2020-02-23,47,False
2020-03-01,33,False
2020-03-08,12,False
2020-03-15,25,False
2020-03-22,12,False
2020-03-29,36,False
2020-04-05,20,False
2020-04-12,26,False
2020-04-19,24,False
2020-04-26,0,True
