date,Maurerarbeiten,isPartial
2018-01-07,76,False
2018-01-14,34,False
2018-01-21,51,False
2018-01-28,76,False
2018-02-04,52,False
2018-02-11,78,False
2018-02-18,78,False
2018-02-25,26,False
2018-03-04,25,False
2018-03-11,26,False
2018-03-18,51,False
2018-03-25,55,False
2018-04-01,37,False
2018-04-08,44,False
2018-04-15,36,False
2018-04-22,26,False
2018-04-29,54,False
2018-05-06,27,False
2018-05-13,65,False
2018-05-20,41,False
2018-05-27,53,False
2018-06-03,26,False
2018-06-10,37,False
2018-06-17,25,False
2018-06-24,44,False
2018-07-01,39,False
2018-07-08,34,False
2018-07-15,80,False
2018-07-22,27,False
2018-07-29,80,False
2018-08-05,62,False
2018-08-12,63,False
2018-08-19,36,False
2018-08-26,40,False
2018-09-02,52,False
2018-09-09,26,False
2018-09-16,61,False
2018-09-23,52,False
2018-09-30,26,False
2018-10-07,39,False
2018-10-14,52,False
2018-10-21,89,False
2018-10-28,0,False
2018-11-04,49,False
2018-11-11,42,False
2018-11-18,41,False
2018-11-25,50,False
2018-12-02,58,False
2018-12-09,38,False
2018-12-16,39,False
2018-12-23,45,False
2018-12-30,53,False
2019-01-06,32,False
2019-01-13,55,False
2019-01-20,47,False
2019-01-27,47,False
2019-02-03,48,False
2019-02-10,24,False
2019-02-17,49,False
2019-02-24,42,False
2019-03-03,56,False
2019-03-10,56,False
2019-03-17,50,False
2019-03-24,49,False
2019-03-31,75,False
2019-04-07,73,False
2019-04-14,54,False
2019-04-21,52,False
2019-04-28,40,False
2019-05-05,60,False
2019-05-12,66,False
2019-05-19,97,False
2019-05-26,100,False
2019-06-02,57,False
2019-06-09,75,False
2019-06-16,76,False
2019-06-23,33,False
2019-06-30,25,False
2019-07-07,24,False
2019-07-14,25,False
2019-07-21,0,False
2019-07-28,26,False
2019-08-04,26,False
2019-08-11,50,False
2019-08-18,34,False
2019-08-25,41,False
2019-09-01,24,False
2019-09-08,49,False
2019-09-15,66,False
2019-09-22,56,False
2019-09-29,48,False
2019-10-06,32,False
2019-10-13,59,False
2019-10-20,35,False
2019-10-27,23,False
2019-11-03,45,False
2019-11-10,23,False
2019-11-17,34,False
2019-11-24,22,False
2019-12-01,45,False
2019-12-08,34,False
2019-12-15,23,False
2019-12-22,0,False
2019-12-29,49,False
2020-01-05,51,False
2020-01-12,35,False
2020-01-19,44,False
2020-01-26,43,False
2020-02-02,43,False
2020-02-09,53,False
2020-02-16,22,False
2020-02-23,64,False
2020-03-01,53,False
2020-03-08,30,False
2020-03-15,58,False
2020-03-22,39,False
2020-03-29,32,False
2020-04-05,43,False
2020-04-12,41,False
2020-04-19,53,False
2020-04-26,39,False
2020-05-03,39,False
2020-05-10,40,False
