date,limusina Hummer,isPartial
2018-01-07,0,False
2018-01-14,25,False
2018-01-21,73,False
2018-01-28,24,False
2018-02-04,25,False
2018-02-11,49,False
2018-02-18,50,False
2018-02-25,36,False
2018-03-04,36,False
2018-03-11,47,False
2018-03-18,37,False
2018-03-25,41,False
2018-04-01,25,False
2018-04-08,47,False
2018-04-15,0,False
2018-04-22,24,False
2018-04-29,62,False
2018-05-06,47,False
2018-05-13,0,False
2018-05-20,48,False
2018-05-27,0,False
2018-06-03,24,False
2018-06-10,23,False
2018-06-17,100,False
2018-06-24,38,False
2018-07-01,25,False
2018-07-08,49,False
2018-07-15,77,False
2018-07-22,51,False
2018-07-29,77,False
2018-08-05,26,False
2018-08-12,0,False
2018-08-19,26,False
2018-08-26,25,False
2018-09-02,72,False
2018-09-09,49,False
2018-09-16,36,False
2018-09-23,23,False
2018-09-30,24,False
2018-10-07,25,False
2018-10-14,47,False
2018-10-21,36,False
2018-10-28,0,False
2018-11-04,34,False
2018-11-11,58,False
2018-11-18,34,False
2018-11-25,0,False
2018-12-02,37,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,28,False
2018-12-30,81,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,66,False
2019-01-27,22,False
2019-02-03,24,False
2019-02-10,23,False
2019-02-17,24,False
2019-02-24,35,False
2019-03-03,24,False
2019-03-10,36,False
2019-03-17,37,False
2019-03-24,36,False
2019-03-31,0,False
2019-04-07,47,False
2019-04-14,25,False
2019-04-21,0,False
2019-04-28,47,False
2019-05-05,35,False
2019-05-12,23,False
2019-05-19,80,False
2019-05-26,56,False
2019-06-02,45,False
2019-06-09,68,False
2019-06-16,36,False
2019-06-23,48,False
2019-06-30,36,False
2019-07-07,47,False
2019-07-14,24,False
2019-07-21,37,False
2019-07-28,25,False
2019-08-04,38,False
2019-08-11,51,False
2019-08-18,37,False
2019-08-25,23,False
2019-09-01,22,False
2019-09-08,22,False
2019-09-15,44,False
2019-09-22,0,False
2019-09-29,44,False
2019-10-06,33,False
2019-10-13,21,False
2019-10-20,21,False
2019-10-27,22,False
2019-11-03,21,False
2019-11-10,21,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,22,False
2019-12-08,44,False
2019-12-15,21,False
2019-12-22,24,False
2019-12-29,35,False
2020-01-05,32,False
2020-01-12,20,False
2020-01-19,20,False
2020-01-26,30,False
2020-02-02,41,False
2020-02-09,41,False
2020-02-16,41,False
2020-02-23,20,False
2020-03-01,39,False
2020-03-08,29,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,18,False
2020-04-05,19,False
2020-04-12,0,True
