date,Hochzeitsfotograf,isPartial
2018-01-07,15,False
2018-01-14,24,False
2018-01-21,31,False
2018-01-28,38,False
2018-02-04,0,False
2018-02-11,48,False
2018-02-18,24,False
2018-02-25,23,False
2018-03-04,31,False
2018-03-11,15,False
2018-03-18,0,False
2018-03-25,33,False
2018-04-01,17,False
2018-04-08,64,False
2018-04-15,16,False
2018-04-22,31,False
2018-04-29,33,False
2018-05-06,0,False
2018-05-13,23,False
2018-05-20,15,False
2018-05-27,15,False
2018-06-03,16,False
2018-06-10,30,False
2018-06-17,23,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,17,False
2018-07-22,16,False
2018-07-29,16,False
2018-08-05,15,False
2018-08-12,30,False
2018-08-19,15,False
2018-08-26,23,False
2018-09-02,31,False
2018-09-09,46,False
2018-09-16,16,False
2018-09-23,16,False
2018-09-30,16,False
2018-10-07,33,False
2018-10-14,0,False
2018-10-21,59,False
2018-10-28,29,False
2018-11-04,15,False
2018-11-11,22,False
2018-11-18,14,False
2018-11-25,15,False
2018-12-02,15,False
2018-12-09,15,False
2018-12-16,15,False
2018-12-23,17,False
2018-12-30,15,False
2019-01-06,43,False
2019-01-13,14,False
2019-01-20,28,False
2019-01-27,14,False
2019-02-03,22,False
2019-02-10,14,False
2019-02-17,23,False
2019-02-24,15,False
2019-03-03,29,False
2019-03-10,21,False
2019-03-17,0,False
2019-03-24,29,False
2019-03-31,0,False
2019-04-07,15,False
2019-04-14,16,False
2019-04-21,16,False
2019-04-28,14,False
2019-05-05,36,False
2019-05-12,15,False
2019-05-19,0,False
2019-05-26,45,False
2019-06-02,15,False
2019-06-09,15,False
2019-06-16,29,False
2019-06-23,0,False
2019-06-30,29,False
2019-07-07,15,False
2019-07-14,16,False
2019-07-21,33,False
2019-07-28,15,False
2019-08-04,15,False
2019-08-11,15,False
2019-08-18,30,False
2019-08-25,14,False
2019-09-01,14,False
2019-09-08,15,False
2019-09-15,30,False
2019-09-22,36,False
2019-09-29,28,False
2019-10-06,0,False
2019-10-13,15,False
2019-10-20,29,False
2019-10-27,14,False
2019-11-03,13,False
2019-11-10,41,False
2019-11-17,41,False
2019-11-24,0,False
2019-12-01,27,False
2019-12-08,14,False
2019-12-15,27,False
2019-12-22,15,False
2019-12-29,29,False
2020-01-05,13,False
2020-01-12,25,False
2020-01-19,0,False
2020-01-26,38,False
2020-02-02,19,False
2020-02-09,13,False
2020-02-16,20,False
2020-02-23,13,False
2020-03-01,38,False
2020-03-08,12,False
2020-03-15,0,False
2020-03-22,17,False
2020-03-29,23,False
2020-04-05,38,False
2020-04-12,100,True
