date,Musica Italiana,isPartial
2018-01-07,0,False
2018-01-14,32,False
2018-01-21,32,False
2018-01-28,24,False
2018-02-04,46,False
2018-02-11,15,False
2018-02-18,30,False
2018-02-25,0,False
2018-03-04,23,False
2018-03-11,16,False
2018-03-18,31,False
2018-03-25,0,False
2018-04-01,17,False
2018-04-08,16,False
2018-04-15,32,False
2018-04-22,33,False
2018-04-29,17,False
2018-05-06,24,False
2018-05-13,16,False
2018-05-20,16,False
2018-05-27,34,False
2018-06-03,100,False
2018-06-10,16,False
2018-06-17,23,False
2018-06-24,39,False
2018-07-01,25,False
2018-07-08,15,False
2018-07-15,24,False
2018-07-22,15,False
2018-07-29,14,False
2018-08-05,68,False
2018-08-12,28,False
2018-08-19,23,False
2018-08-26,27,False
2018-09-02,63,False
2018-09-09,34,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,16,False
2018-10-07,17,False
2018-10-14,25,False
2018-10-21,33,False
2018-10-28,32,False
2018-11-04,16,False
2018-11-11,17,False
2018-11-18,17,False
2018-11-25,33,False
2018-12-02,35,False
2018-12-09,0,False
2018-12-16,54,False
2018-12-23,28,False
2018-12-30,26,False
2019-01-06,50,False
2019-01-13,0,False
2019-01-20,15,False
2019-01-27,24,False
2019-02-03,16,False
2019-02-10,16,False
2019-02-17,33,False
2019-02-24,16,False
2019-03-03,34,False
2019-03-10,16,False
2019-03-17,25,False
2019-03-24,17,False
2019-03-31,17,False
2019-04-07,17,False
2019-04-14,18,False
2019-04-21,17,False
2019-04-28,17,False
2019-05-05,25,False
2019-05-12,33,False
2019-05-19,41,False
2019-05-26,31,False
2019-06-02,68,False
2019-06-09,18,False
2019-06-16,50,False
2019-06-23,33,False
2019-06-30,43,False
2019-07-07,57,False
2019-07-14,31,False
2019-07-21,32,False
2019-07-28,23,False
2019-08-04,35,False
2019-08-11,27,False
2019-08-18,26,False
2019-08-25,52,False
2019-09-01,44,False
2019-09-08,33,False
2019-09-15,25,False
2019-09-22,33,False
2019-09-29,17,False
2019-10-06,0,False
2019-10-13,26,False
2019-10-20,50,False
2019-10-27,25,False
2019-11-03,16,False
2019-11-10,17,False
2019-11-17,51,False
2019-11-24,32,False
2019-12-01,17,False
2019-12-08,17,False
2019-12-15,25,False
2019-12-22,17,False
2019-12-29,33,False
2020-01-05,16,False
2020-01-12,15,False
2020-01-19,15,False
2020-01-26,37,False
2020-02-02,15,False
2020-02-09,16,False
2020-02-16,23,False
2020-02-23,0,False
2020-03-01,21,False
2020-03-08,26,False
2020-03-15,37,False
2020-03-22,39,False
2020-03-29,18,False
2020-04-05,13,False
2020-04-12,33,False
2020-04-19,24,False
2020-04-26,32,True
