date,musica italiana,isPartial
2018-01-07,0,False
2018-01-14,72,False
2018-01-21,24,False
2018-01-28,0,False
2018-02-04,48,False
2018-02-11,0,False
2018-02-18,23,False
2018-02-25,23,False
2018-03-04,0,False
2018-03-11,24,False
2018-03-18,24,False
2018-03-25,52,False
2018-04-01,25,False
2018-04-08,25,False
2018-04-15,26,False
2018-04-22,27,False
2018-04-29,61,False
2018-05-06,49,False
2018-05-13,26,False
2018-05-20,51,False
2018-05-27,50,False
2018-06-03,36,False
2018-06-10,23,False
2018-06-17,25,False
2018-06-24,75,False
2018-07-01,25,False
2018-07-08,25,False
2018-07-15,38,False
2018-07-22,37,False
2018-07-29,37,False
2018-08-05,47,False
2018-08-12,53,False
2018-08-19,23,False
2018-08-26,23,False
2018-09-02,24,False
2018-09-09,0,False
2018-09-16,25,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,65,False
2018-10-14,0,False
2018-10-21,54,False
2018-10-28,26,False
2018-11-04,52,False
2018-11-11,27,False
2018-11-18,26,False
2018-11-25,52,False
2018-12-02,28,False
2018-12-09,0,False
2018-12-16,56,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,26,False
2019-01-20,25,False
2019-01-27,25,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,0,False
2019-02-24,39,False
2019-03-03,27,False
2019-03-10,0,False
2019-03-17,55,False
2019-03-24,27,False
2019-03-31,0,False
2019-04-07,54,False
2019-04-14,28,False
2019-04-21,56,False
2019-04-28,39,False
2019-05-05,39,False
2019-05-12,26,False
2019-05-19,26,False
2019-05-26,24,False
2019-06-02,27,False
2019-06-09,0,False
2019-06-16,27,False
2019-06-23,27,False
2019-06-30,0,False
2019-07-07,49,False
2019-07-14,0,False
2019-07-21,52,False
2019-07-28,25,False
2019-08-04,37,False
2019-08-11,47,False
2019-08-18,21,False
2019-08-25,42,False
2019-09-01,68,False
2019-09-08,25,False
2019-09-15,23,False
2019-09-22,23,False
2019-09-29,0,False
2019-10-06,24,False
2019-10-13,48,False
2019-10-20,23,False
2019-10-27,23,False
2019-11-03,65,False
2019-11-10,22,False
2019-11-17,23,False
2019-11-24,0,False
2019-12-01,23,False
2019-12-08,46,False
2019-12-15,36,False
2019-12-22,38,False
2019-12-29,23,False
2020-01-05,22,False
2020-01-12,21,False
2020-01-19,22,False
2020-01-26,42,False
2020-02-02,0,False
2020-02-09,21,False
2020-02-16,21,False
2020-02-23,20,False
2020-03-01,50,False
2020-03-08,19,False
2020-03-15,19,False
2020-03-22,35,False
2020-03-29,18,False
2020-04-05,20,False
2020-04-12,59,False
2020-04-19,18,False
2020-04-26,100,True
