date,organización eventos,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,35,False
2018-01-28,34,False
2018-02-04,34,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,34,False
2018-03-04,67,False
2018-03-11,33,False
2018-03-18,0,False
2018-03-25,45,False
2018-04-01,35,False
2018-04-08,33,False
2018-04-15,0,False
2018-04-22,33,False
2018-04-29,0,False
2018-05-06,33,False
2018-05-13,35,False
2018-05-20,34,False
2018-05-27,100,False
2018-06-03,33,False
2018-06-10,83,False
2018-06-17,36,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,38,False
2018-07-15,82,False
2018-07-22,0,False
2018-07-29,44,False
2018-08-05,47,False
2018-08-12,50,False
2018-08-19,46,False
2018-08-26,0,False
2018-09-02,71,False
2018-09-09,69,False
2018-09-16,50,False
2018-09-23,33,False
2018-09-30,33,False
2018-10-07,0,False
2018-10-14,33,False
2018-10-21,66,False
2018-10-28,0,False
2018-11-04,30,False
2018-11-11,31,False
2018-11-18,31,False
2018-11-25,0,False
2018-12-02,49,False
2018-12-09,34,False
2018-12-16,67,False
2018-12-23,0,False
2018-12-30,36,False
2019-01-06,34,False
2019-01-13,32,False
2019-01-20,75,False
2019-01-27,56,False
2019-02-03,48,False
2019-02-10,48,False
2019-02-17,33,False
2019-02-24,29,False
2019-03-03,0,False
2019-03-10,34,False
2019-03-17,0,False
2019-03-24,34,False
2019-03-31,32,False
2019-04-07,29,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,35,False
2019-05-05,44,False
2019-05-12,65,False
2019-05-19,32,False
2019-05-26,62,False
2019-06-02,62,False
2019-06-09,46,False
2019-06-16,33,False
2019-06-23,69,False
2019-06-30,35,False
2019-07-07,33,False
2019-07-14,0,False
2019-07-21,37,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,49,False
2019-08-18,45,False
2019-08-25,39,False
2019-09-01,31,False
2019-09-08,94,False
2019-09-15,30,False
2019-09-22,31,False
2019-09-29,61,False
2019-10-06,45,False
2019-10-13,0,False
2019-10-20,30,False
2019-10-27,0,False
2019-11-03,87,False
2019-11-10,0,False
2019-11-17,29,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,31,False
2019-12-15,29,False
2019-12-22,36,False
2019-12-29,0,False
2020-01-05,61,False
2020-01-12,42,False
2020-01-19,28,False
2020-01-26,42,False
2020-02-02,0,False
2020-02-09,57,False
2020-02-16,29,False
2020-02-23,28,False
2020-03-01,54,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,27,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,47,True
