date,Vorgarten,isPartial
2018-01-07,0,False
2018-01-14,90,False
2018-01-21,0,False
2018-01-28,91,False
2018-02-04,97,False
2018-02-11,0,False
2018-02-18,31,False
2018-02-25,31,False
2018-03-04,0,False
2018-03-11,30,False
2018-03-18,0,False
2018-03-25,33,False
2018-04-01,51,False
2018-04-08,46,False
2018-04-15,0,False
2018-04-22,29,False
2018-04-29,32,False
2018-05-06,49,False
2018-05-13,31,False
2018-05-20,32,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,45,False
2018-06-17,30,False
2018-06-24,30,False
2018-07-01,0,False
2018-07-08,66,False
2018-07-15,34,False
2018-07-22,35,False
2018-07-29,0,False
2018-08-05,36,False
2018-08-12,37,False
2018-08-19,35,False
2018-08-26,0,False
2018-09-02,32,False
2018-09-09,32,False
2018-09-16,32,False
2018-09-23,47,False
2018-09-30,0,False
2018-10-07,29,False
2018-10-14,29,False
2018-10-21,29,False
2018-10-28,0,False
2018-11-04,30,False
2018-11-11,28,False
2018-11-18,0,False
2018-11-25,28,False
2018-12-02,0,False
2018-12-09,28,False
2018-12-16,87,False
2018-12-23,36,False
2018-12-30,35,False
2019-01-06,0,False
2019-01-13,59,False
2019-01-20,0,False
2019-01-27,30,False
2019-02-03,31,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,59,False
2019-03-03,30,False
2019-03-10,58,False
2019-03-17,30,False
2019-03-24,31,False
2019-03-31,31,False
2019-04-07,30,False
2019-04-14,33,False
2019-04-21,33,False
2019-04-28,91,False
2019-05-05,59,False
2019-05-12,0,False
2019-05-19,44,False
2019-05-26,30,False
2019-06-02,31,False
2019-06-09,65,False
2019-06-16,0,False
2019-06-23,32,False
2019-06-30,48,False
2019-07-07,65,False
2019-07-14,0,False
2019-07-21,36,False
2019-07-28,53,False
2019-08-04,0,False
2019-08-11,36,False
2019-08-18,0,False
2019-08-25,97,False
2019-09-01,30,False
2019-09-08,62,False
2019-09-15,30,False
2019-09-22,29,False
2019-09-29,0,False
2019-10-06,28,False
2019-10-13,55,False
2019-10-20,83,False
2019-10-27,28,False
2019-11-03,0,False
2019-11-10,27,False
2019-11-17,27,False
2019-11-24,27,False
2019-12-01,0,False
2019-12-08,27,False
2019-12-15,28,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,31,False
2020-01-12,27,False
2020-01-19,0,False
2020-01-26,26,False
2020-02-02,42,False
2020-02-09,0,False
2020-02-16,40,False
2020-02-23,100,False
2020-03-01,63,False
2020-03-08,49,False
2020-03-15,39,False
2020-03-22,82,False
2020-03-29,42,False
2020-04-05,60,False
2020-04-12,58,False
2020-04-19,28,False
2020-04-26,43,False
2020-05-03,28,False
2020-05-10,27,False
2020-05-17,29,False
2020-05-24,54,False
2020-05-31,54,False
2020-06-07,0,False
2020-06-14,26,False
2020-06-21,26,False
2020-06-28,27,False
2020-07-05,28,False
