date,Deko Hochzeit,isPartial
2018-01-07,30,False
2018-01-14,39,False
2018-01-21,39,False
2018-01-28,60,False
2018-02-04,30,False
2018-02-11,40,False
2018-02-18,60,False
2018-02-25,39,False
2018-03-04,69,False
2018-03-11,39,False
2018-03-18,41,False
2018-03-25,52,False
2018-04-01,41,False
2018-04-08,61,False
2018-04-15,31,False
2018-04-22,29,False
2018-04-29,51,False
2018-05-06,42,False
2018-05-13,49,False
2018-05-20,52,False
2018-05-27,58,False
2018-06-03,40,False
2018-06-10,48,False
2018-06-17,49,False
2018-06-24,30,False
2018-07-01,52,False
2018-07-08,62,False
2018-07-15,66,False
2018-07-22,63,False
2018-07-29,30,False
2018-08-05,56,False
2018-08-12,66,False
2018-08-19,66,False
2018-08-26,77,False
2018-09-02,39,False
2018-09-09,29,False
2018-09-16,49,False
2018-09-23,49,False
2018-09-30,41,False
2018-10-07,52,False
2018-10-14,59,False
2018-10-21,19,False
2018-10-28,39,False
2018-11-04,0,False
2018-11-11,39,False
2018-11-18,38,False
2018-11-25,20,False
2018-12-02,0,False
2018-12-09,29,False
2018-12-16,40,False
2018-12-23,44,False
2018-12-30,20,False
2019-01-06,64,False
2019-01-13,64,False
2019-01-20,91,False
2019-01-27,37,False
2019-02-03,28,False
2019-02-10,38,False
2019-02-17,28,False
2019-02-24,48,False
2019-03-03,37,False
2019-03-10,36,False
2019-03-17,47,False
2019-03-24,67,False
2019-03-31,19,False
2019-04-07,100,False
2019-04-14,32,False
2019-04-21,59,False
2019-04-28,76,False
2019-05-05,46,False
2019-05-12,67,False
2019-05-19,56,False
2019-05-26,19,False
2019-06-02,74,False
2019-06-09,65,False
2019-06-16,56,False
2019-06-23,38,False
2019-06-30,37,False
2019-07-07,29,False
2019-07-14,20,False
2019-07-21,31,False
2019-07-28,39,False
2019-08-04,48,False
2019-08-11,80,False
2019-08-18,83,False
2019-08-25,54,False
2019-09-01,26,False
2019-09-08,45,False
2019-09-15,18,False
2019-09-22,18,False
2019-09-29,45,False
2019-10-06,18,False
2019-10-13,27,False
2019-10-20,36,False
2019-10-27,35,False
2019-11-03,34,False
2019-11-10,0,False
2019-11-17,35,False
2019-11-24,17,False
2019-12-01,34,False
2019-12-08,50,False
2019-12-15,17,False
2019-12-22,19,False
2019-12-29,18,False
2020-01-05,16,False
2020-01-12,48,False
2020-01-19,33,False
2020-01-26,41,False
2020-02-02,98,False
2020-02-09,16,False
2020-02-16,66,False
2020-02-23,66,False
2020-03-01,25,False
2020-03-08,23,False
2020-03-15,23,False
2020-03-22,15,False
2020-03-29,30,False
2020-04-05,25,False
2020-04-12,60,True
