date,Deko Hochzeit,isPartial
2018-01-07,30,False
2018-01-14,31,False
2018-01-21,47,False
2018-01-28,30,False
2018-02-04,77,False
2018-02-11,31,False
2018-02-18,0,False
2018-02-25,61,False
2018-03-04,46,False
2018-03-11,31,False
2018-03-18,0,False
2018-03-25,33,False
2018-04-01,100,False
2018-04-08,32,False
2018-04-15,0,False
2018-04-22,46,False
2018-04-29,48,False
2018-05-06,0,False
2018-05-13,30,False
2018-05-20,61,False
2018-05-27,89,False
2018-06-03,31,False
2018-06-10,30,False
2018-06-17,30,False
2018-06-24,31,False
2018-07-01,63,False
2018-07-08,0,False
2018-07-15,49,False
2018-07-22,32,False
2018-07-29,63,False
2018-08-05,30,False
2018-08-12,59,False
2018-08-19,30,False
2018-08-26,30,False
2018-09-02,30,False
2018-09-09,30,False
2018-09-16,0,False
2018-09-23,31,False
2018-09-30,0,False
2018-10-07,32,False
2018-10-14,62,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,29,False
2018-11-18,0,False
2018-11-25,29,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,30,False
2018-12-23,33,False
2018-12-30,30,False
2019-01-06,28,False
2019-01-13,42,False
2019-01-20,42,False
2019-01-27,42,False
2019-02-03,28,False
2019-02-10,58,False
2019-02-17,45,False
2019-02-24,30,False
2019-03-03,0,False
2019-03-10,28,False
2019-03-17,30,False
2019-03-24,29,False
2019-03-31,0,False
2019-04-07,44,False
2019-04-14,31,False
2019-04-21,0,False
2019-04-28,42,False
2019-05-05,42,False
2019-05-12,57,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,29,False
2019-06-09,29,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,57,False
2019-07-07,59,False
2019-07-14,31,False
2019-07-21,0,False
2019-07-28,45,False
2019-08-04,61,False
2019-08-11,60,False
2019-08-18,88,False
2019-08-25,0,False
2019-09-01,55,False
2019-09-08,29,False
2019-09-15,29,False
2019-09-22,57,False
2019-09-29,27,False
2019-10-06,28,False
2019-10-13,29,False
2019-10-20,29,False
2019-10-27,27,False
2019-11-03,26,False
2019-11-10,26,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,29,False
2020-01-05,51,False
2020-01-12,62,False
2020-01-19,38,False
2020-01-26,0,False
2020-02-02,25,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,25,False
2020-03-01,25,False
2020-03-08,48,False
2020-03-15,0,False
2020-03-22,23,False
2020-03-29,22,False
2020-04-05,25,False
2020-04-12,0,True
