date,Nutricionista,isPartial
2018-01-07,36,False
2018-01-14,19,False
2018-01-21,25,False
2018-01-28,37,False
2018-02-04,18,False
2018-02-11,31,False
2018-02-18,37,False
2018-02-25,35,False
2018-03-04,29,False
2018-03-11,47,False
2018-03-18,30,False
2018-03-25,26,False
2018-04-01,18,False
2018-04-08,29,False
2018-04-15,24,False
2018-04-22,24,False
2018-04-29,27,False
2018-05-06,55,False
2018-05-13,47,False
2018-05-20,37,False
2018-05-27,43,False
2018-06-03,35,False
2018-06-10,18,False
2018-06-17,20,False
2018-06-24,0,False
2018-07-01,20,False
2018-07-08,29,False
2018-07-15,41,False
2018-07-22,40,False
2018-07-29,39,False
2018-08-05,44,False
2018-08-12,19,False
2018-08-19,32,False
2018-08-26,37,False
2018-09-02,37,False
2018-09-09,38,False
2018-09-16,31,False
2018-09-23,37,False
2018-09-30,28,False
2018-10-07,19,False
2018-10-14,18,False
2018-10-21,18,False
2018-10-28,18,False
2018-11-04,23,False
2018-11-11,24,False
2018-11-18,17,False
2018-11-25,18,False
2018-12-02,0,False
2018-12-09,28,False
2018-12-16,37,False
2018-12-23,30,False
2018-12-30,59,False
2019-01-06,30,False
2019-01-13,35,False
2019-01-20,16,False
2019-01-27,26,False
2019-02-03,18,False
2019-02-10,36,False
2019-02-17,27,False
2019-02-24,48,False
2019-03-03,37,False
2019-03-10,37,False
2019-03-17,43,False
2019-03-24,49,False
2019-03-31,17,False
2019-04-07,48,False
2019-04-14,0,False
2019-04-21,35,False
2019-04-28,46,False
2019-05-05,27,False
2019-05-12,48,False
2019-05-19,27,False
2019-05-26,54,False
2019-06-02,29,False
2019-06-09,30,False
2019-06-16,47,False
2019-06-23,28,False
2019-06-30,31,False
2019-07-07,43,False
2019-07-14,19,False
2019-07-21,32,False
2019-07-28,38,False
2019-08-04,57,False
2019-08-11,28,False
2019-08-18,30,False
2019-08-25,29,False
2019-09-01,46,False
2019-09-08,59,False
2019-09-15,28,False
2019-09-22,34,False
2019-09-29,34,False
2019-10-06,45,False
2019-10-13,16,False
2019-10-20,32,False
2019-10-27,37,False
2019-11-03,37,False
2019-11-10,37,False
2019-11-17,37,False
2019-11-24,38,False
2019-12-01,40,False
2019-12-08,43,False
2019-12-15,27,False
2019-12-22,33,False
2019-12-29,100,False
2020-01-05,26,False
2020-01-12,19,False
2020-01-19,34,False
2020-01-26,35,False
2020-02-02,40,False
2020-02-09,40,False
2020-02-16,25,False
2020-02-23,25,False
2020-03-01,19,False
2020-03-08,19,False
2020-03-15,0,False
2020-03-22,12,False
2020-03-29,12,False
2020-04-05,38,False
2020-04-12,24,False
2020-04-19,35,False
2020-04-26,36,False
2020-05-03,24,False
2020-05-10,17,False
2020-05-17,25,True
