date,la naturopathie,isPartial
2018-01-07,31,False
2018-01-14,32,False
2018-01-21,31,False
2018-01-28,42,False
2018-02-04,63,False
2018-02-11,53,False
2018-02-18,34,False
2018-02-25,0,False
2018-03-04,32,False
2018-03-11,32,False
2018-03-18,49,False
2018-03-25,43,False
2018-04-01,66,False
2018-04-08,48,False
2018-04-15,34,False
2018-04-22,34,False
2018-04-29,33,False
2018-05-06,35,False
2018-05-13,48,False
2018-05-20,49,False
2018-05-27,31,False
2018-06-03,47,False
2018-06-10,0,False
2018-06-17,61,False
2018-06-24,32,False
2018-07-01,31,False
2018-07-08,32,False
2018-07-15,47,False
2018-07-22,36,False
2018-07-29,76,False
2018-08-05,0,False
2018-08-12,41,False
2018-08-19,38,False
2018-08-26,46,False
2018-09-02,33,False
2018-09-09,31,False
2018-09-16,47,False
2018-09-23,95,False
2018-09-30,0,False
2018-10-07,52,False
2018-10-14,30,False
2018-10-21,31,False
2018-10-28,100,False
2018-11-04,31,False
2018-11-11,30,False
2018-11-18,92,False
2018-11-25,31,False
2018-12-02,0,False
2018-12-09,32,False
2018-12-16,0,False
2018-12-23,39,False
2018-12-30,0,False
2019-01-06,64,False
2019-01-13,32,False
2019-01-20,61,False
2019-01-27,46,False
2019-02-03,29,False
2019-02-10,31,False
2019-02-17,47,False
2019-02-24,48,False
2019-03-03,62,False
2019-03-10,0,False
2019-03-17,32,False
2019-03-24,33,False
2019-03-31,65,False
2019-04-07,66,False
2019-04-14,51,False
2019-04-21,36,False
2019-04-28,36,False
2019-05-05,35,False
2019-05-12,33,False
2019-05-19,33,False
2019-05-26,34,False
2019-06-02,30,False
2019-06-09,33,False
2019-06-16,49,False
2019-06-23,50,False
2019-06-30,0,False
2019-07-07,51,False
2019-07-14,73,False
2019-07-21,38,False
2019-07-28,40,False
2019-08-04,42,False
2019-08-11,88,False
2019-08-18,84,False
2019-08-25,55,False
2019-09-01,44,False
2019-09-08,33,False
2019-09-15,32,False
2019-09-22,63,False
2019-09-29,51,False
2019-10-06,32,False
2019-10-13,64,False
2019-10-20,0,False
2019-10-27,33,False
2019-11-03,62,False
2019-11-10,80,False
2019-11-17,31,False
2019-11-24,46,False
2019-12-01,30,False
2019-12-08,30,False
2019-12-15,32,False
2019-12-22,38,False
2019-12-29,35,False
2020-01-05,30,False
2020-01-12,30,False
2020-01-19,31,False
2020-01-26,91,False
2020-02-02,93,False
2020-02-09,31,False
2020-02-16,32,False
2020-02-23,74,False
2020-03-01,44,False
2020-03-08,0,False
2020-03-15,47,False
2020-03-22,47,False
2020-03-29,0,False
2020-04-05,31,False
2020-04-12,53,False
2020-04-19,31,False
2020-04-26,60,False
2020-05-03,48,False
2020-05-10,30,False
2020-05-17,72,True
