date,Grabumrandung,isPartial
2018-01-07,24,False
2018-01-14,24,False
2018-01-21,47,False
2018-01-28,0,False
2018-02-04,24,False
2018-02-11,25,False
2018-02-18,24,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,40,False
2018-03-18,36,False
2018-03-25,0,False
2018-04-01,52,False
2018-04-08,67,False
2018-04-15,34,False
2018-04-22,65,False
2018-04-29,51,False
2018-05-06,60,False
2018-05-13,49,False
2018-05-20,52,False
2018-05-27,100,False
2018-06-03,49,False
2018-06-10,48,False
2018-06-17,36,False
2018-06-24,25,False
2018-07-01,61,False
2018-07-08,0,False
2018-07-15,42,False
2018-07-22,38,False
2018-07-29,34,False
2018-08-05,25,False
2018-08-12,26,False
2018-08-19,75,False
2018-08-26,25,False
2018-09-02,33,False
2018-09-09,65,False
2018-09-16,98,False
2018-09-23,73,False
2018-09-30,41,False
2018-10-07,41,False
2018-10-14,49,False
2018-10-21,48,False
2018-10-28,60,False
2018-11-04,47,False
2018-11-11,48,False
2018-11-18,0,False
2018-11-25,24,False
2018-12-02,23,False
2018-12-09,24,False
2018-12-16,0,False
2018-12-23,28,False
2018-12-30,0,False
2019-01-06,45,False
2019-01-13,22,False
2019-01-20,44,False
2019-01-27,67,False
2019-02-03,45,False
2019-02-10,31,False
2019-02-17,38,False
2019-02-24,35,False
2019-03-03,34,False
2019-03-10,45,False
2019-03-17,39,False
2019-03-24,62,False
2019-03-31,39,False
2019-04-07,38,False
2019-04-14,68,False
2019-04-21,49,False
2019-04-28,58,False
2019-05-05,38,False
2019-05-12,85,False
2019-05-19,61,False
2019-05-26,24,False
2019-06-02,35,False
2019-06-09,47,False
2019-06-16,40,False
2019-06-23,31,False
2019-06-30,0,False
2019-07-07,38,False
2019-07-14,24,False
2019-07-21,25,False
2019-07-28,24,False
2019-08-04,82,False
2019-08-11,24,False
2019-08-18,24,False
2019-08-25,58,False
2019-09-01,46,False
2019-09-08,58,False
2019-09-15,70,False
2019-09-22,37,False
2019-09-29,38,False
2019-10-06,22,False
2019-10-13,33,False
2019-10-20,37,False
2019-10-27,58,False
2019-11-03,63,False
2019-11-10,21,False
2019-11-17,43,False
2019-11-24,42,False
2019-12-01,0,False
2019-12-08,22,False
2019-12-15,0,False
2019-12-22,25,False
2019-12-29,23,False
2020-01-05,49,False
2020-01-12,33,False
2020-01-19,20,False
2020-01-26,27,False
2020-02-02,20,False
2020-02-09,40,False
2020-02-16,28,False
2020-02-23,40,False
2020-03-01,20,False
2020-03-08,25,False
2020-03-15,18,False
2020-03-22,27,False
2020-03-29,43,False
2020-04-05,61,False
2020-04-12,58,False
2020-04-19,37,False
2020-04-26,43,False
2020-05-03,49,False
2020-05-10,50,False
