date,Moustiquaires,isPartial
2018-01-07,6,False
2018-01-14,9,False
2018-01-21,6,False
2018-01-28,8,False
2018-02-04,6,False
2018-02-11,6,False
2018-02-18,15,False
2018-02-25,11,False
2018-03-04,15,False
2018-03-11,10,False
2018-03-18,8,False
2018-03-25,17,False
2018-04-01,26,False
2018-04-08,21,False
2018-04-15,35,False
2018-04-22,38,False
2018-04-29,39,False
2018-05-06,45,False
2018-05-13,17,False
2018-05-20,32,False
2018-05-27,42,False
2018-06-03,46,False
2018-06-10,24,False
2018-06-17,54,False
2018-06-24,52,False
2018-07-01,49,False
2018-07-08,59,False
2018-07-15,37,False
2018-07-22,43,False
2018-07-29,74,False
2018-08-05,32,False
2018-08-12,13,False
2018-08-19,35,False
2018-08-26,12,False
2018-09-02,16,False
2018-09-09,18,False
2018-09-16,14,False
2018-09-23,8,False
2018-09-30,9,False
2018-10-07,8,False
2018-10-14,6,False
2018-10-21,10,False
2018-10-28,6,False
2018-11-04,11,False
2018-11-11,6,False
2018-11-18,6,False
2018-11-25,9,False
2018-12-02,8,False
2018-12-09,12,False
2018-12-16,6,False
2018-12-23,0,False
2018-12-30,6,False
2019-01-06,9,False
2019-01-13,11,False
2019-01-20,8,False
2019-01-27,5,False
2019-02-03,6,False
2019-02-10,15,False
2019-02-17,12,False
2019-02-24,19,False
2019-03-03,21,False
2019-03-10,23,False
2019-03-17,14,False
2019-03-24,24,False
2019-03-31,29,False
2019-04-07,31,False
2019-04-14,31,False
2019-04-21,25,False
2019-04-28,21,False
2019-05-05,26,False
2019-05-12,9,False
2019-05-19,21,False
2019-05-26,32,False
2019-06-02,42,False
2019-06-09,29,False
2019-06-16,55,False
2019-06-23,63,False
2019-06-30,50,False
2019-07-07,40,False
2019-07-14,37,False
2019-07-21,38,False
2019-07-28,28,False
2019-08-04,30,False
2019-08-11,18,False
2019-08-18,18,False
2019-08-25,36,False
2019-09-01,8,False
2019-09-08,13,False
2019-09-15,11,False
2019-09-22,16,False
2019-09-29,21,False
2019-10-06,7,False
2019-10-13,9,False
2019-10-20,12,False
2019-10-27,7,False
2019-11-03,9,False
2019-11-10,5,False
2019-11-17,12,False
2019-11-24,5,False
2019-12-01,5,False
2019-12-08,5,False
2019-12-15,9,False
2019-12-22,9,False
2019-12-29,9,False
2020-01-05,7,False
2020-01-12,7,False
2020-01-19,13,False
2020-01-26,15,False
2020-02-02,8,False
2020-02-09,7,False
2020-02-16,12,False
2020-02-23,14,False
2020-03-01,13,False
2020-03-08,12,False
2020-03-15,9,False
2020-03-22,19,False
2020-03-29,11,False
2020-04-05,34,False
2020-04-12,33,False
2020-04-19,40,False
2020-04-26,73,False
2020-05-03,76,False
2020-05-10,55,False
2020-05-17,100,True
