date,Party Location,isPartial
2018-01-07,26,False
2018-01-14,42,False
2018-01-21,69,False
2018-01-28,26,False
2018-02-04,27,False
2018-02-11,53,False
2018-02-18,53,False
2018-02-25,26,False
2018-03-04,35,False
2018-03-11,26,False
2018-03-18,35,False
2018-03-25,28,False
2018-04-01,42,False
2018-04-08,0,False
2018-04-15,54,False
2018-04-22,26,False
2018-04-29,45,False
2018-05-06,54,False
2018-05-13,26,False
2018-05-20,27,False
2018-05-27,26,False
2018-06-03,39,False
2018-06-10,25,False
2018-06-17,25,False
2018-06-24,26,False
2018-07-01,26,False
2018-07-08,25,False
2018-07-15,40,False
2018-07-22,27,False
2018-07-29,37,False
2018-08-05,69,False
2018-08-12,56,False
2018-08-19,40,False
2018-08-26,53,False
2018-09-02,35,False
2018-09-09,35,False
2018-09-16,40,False
2018-09-23,53,False
2018-09-30,67,False
2018-10-07,53,False
2018-10-14,40,False
2018-10-21,36,False
2018-10-28,0,False
2018-11-04,25,False
2018-11-11,26,False
2018-11-18,25,False
2018-11-25,100,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,39,False
2018-12-23,44,False
2018-12-30,68,False
2019-01-06,57,False
2019-01-13,64,False
2019-01-20,36,False
2019-01-27,48,False
2019-02-03,60,False
2019-02-10,37,False
2019-02-17,50,False
2019-02-24,50,False
2019-03-03,49,False
2019-03-10,24,False
2019-03-17,59,False
2019-03-24,38,False
2019-03-31,37,False
2019-04-07,25,False
2019-04-14,54,False
2019-04-21,0,False
2019-04-28,25,False
2019-05-05,40,False
2019-05-12,58,False
2019-05-19,33,False
2019-05-26,25,False
2019-06-02,33,False
2019-06-09,63,False
2019-06-16,25,False
2019-06-23,38,False
2019-06-30,25,False
2019-07-07,33,False
2019-07-14,35,False
2019-07-21,28,False
2019-07-28,27,False
2019-08-04,83,False
2019-08-11,66,False
2019-08-18,39,False
2019-08-25,75,False
2019-09-01,49,False
2019-09-08,62,False
2019-09-15,25,False
2019-09-22,25,False
2019-09-29,49,False
2019-10-06,24,False
2019-10-13,24,False
2019-10-20,25,False
2019-10-27,48,False
2019-11-03,76,False
2019-11-10,35,False
2019-11-17,34,False
2019-11-24,30,False
2019-12-01,54,False
2019-12-08,46,False
2019-12-15,0,False
2019-12-22,27,False
2019-12-29,34,False
2020-01-05,75,False
2020-01-12,71,False
2020-01-19,52,False
2020-01-26,36,False
2020-02-02,29,False
2020-02-09,53,False
2020-02-16,55,False
2020-02-23,42,False
2020-03-01,28,False
2020-03-08,40,False
2020-03-15,20,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,22,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,29,False
2020-05-03,0,False
2020-05-10,20,False
2020-05-17,48,True
