date,terapia de grupo,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,100,False
2018-01-28,0,False
2018-02-04,99,False
2018-02-11,51,False
2018-02-18,51,False
2018-02-25,0,False
2018-03-04,49,False
2018-03-11,0,False
2018-03-18,51,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,50,False
2018-04-22,49,False
2018-04-29,0,False
2018-05-06,50,False
2018-05-13,52,False
2018-05-20,0,False
2018-05-27,49,False
2018-06-03,49,False
2018-06-10,0,False
2018-06-17,53,False
2018-06-24,53,False
2018-07-01,0,False
2018-07-08,56,False
2018-07-15,59,False
2018-07-22,0,False
2018-07-29,63,False
2018-08-05,68,False
2018-08-12,74,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,53,False
2018-09-09,0,False
2018-09-16,49,False
2018-09-23,49,False
2018-09-30,49,False
2018-10-07,0,False
2018-10-14,97,False
2018-10-21,49,False
2018-10-28,51,False
2018-11-04,73,False
2018-11-11,46,False
2018-11-18,46,False
2018-11-25,44,False
2018-12-02,0,False
2018-12-09,49,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,53,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,44,False
2019-01-27,41,False
2019-02-03,0,False
2019-02-10,95,False
2019-02-17,48,False
2019-02-24,42,False
2019-03-03,48,False
2019-03-10,49,False
2019-03-17,49,False
2019-03-24,49,False
2019-03-31,0,False
2019-04-07,42,False
2019-04-14,60,False
2019-04-21,0,False
2019-04-28,51,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,46,False
2019-06-09,90,False
2019-06-16,49,False
2019-06-23,50,False
2019-06-30,52,False
2019-07-07,49,False
2019-07-14,56,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,66,False
2019-08-11,71,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,46,False
2019-09-08,47,False
2019-09-15,0,False
2019-09-22,45,False
2019-09-29,67,False
2019-10-06,0,False
2019-10-13,86,False
2019-10-20,43,False
2019-10-27,0,False
2019-11-03,85,False
2019-11-10,0,False
2019-11-17,43,False
2019-11-24,41,False
2019-12-01,45,False
2019-12-08,45,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,51,False
2020-01-05,44,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,41,False
2020-02-02,41,False
2020-02-09,82,False
2020-02-16,42,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,40,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,40,False
2020-04-19,0,False
2020-04-26,39,False
2020-05-03,38,False
2020-05-10,0,False
2020-05-17,45,True
