date,apprendre à dessiner,isPartial
2018-01-07,0,False
2018-01-14,38,False
2018-01-21,0,False
2018-01-28,39,False
2018-02-04,0,False
2018-02-11,40,False
2018-02-18,0,False
2018-02-25,39,False
2018-03-04,39,False
2018-03-11,40,False
2018-03-18,0,False
2018-03-25,40,False
2018-04-01,0,False
2018-04-08,41,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,37,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,39,False
2018-05-27,39,False
2018-06-03,38,False
2018-06-10,36,False
2018-06-17,0,False
2018-06-24,39,False
2018-07-01,37,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,37,False
2018-08-05,35,False
2018-08-12,36,False
2018-08-19,37,False
2018-08-26,38,False
2018-09-02,38,False
2018-09-09,0,False
2018-09-16,39,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,61,False
2018-10-28,0,False
2018-11-04,38,False
2018-11-11,79,False
2018-11-18,38,False
2018-11-25,77,False
2018-12-02,39,False
2018-12-09,39,False
2018-12-16,40,False
2018-12-23,0,False
2018-12-30,42,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,37,False
2019-02-03,39,False
2019-02-10,0,False
2019-02-17,42,False
2019-02-24,0,False
2019-03-03,39,False
2019-03-10,0,False
2019-03-17,40,False
2019-03-24,77,False
2019-03-31,0,False
2019-04-07,34,False
2019-04-14,35,False
2019-04-21,34,False
2019-04-28,33,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,66,False
2019-06-02,0,False
2019-06-09,31,False
2019-06-16,0,False
2019-06-23,32,False
2019-06-30,0,False
2019-07-07,30,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,100,False
2019-08-25,31,False
2019-09-01,32,False
2019-09-08,32,False
2019-09-15,0,False
2019-09-22,30,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,31,False
2019-11-03,29,False
2019-11-10,30,False
2019-11-17,0,False
2019-11-24,31,False
2019-12-01,0,False
2019-12-08,31,False
2019-12-15,31,False
2019-12-22,51,False
2019-12-29,0,False
2020-01-05,30,False
2020-01-12,29,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,30,False
2020-02-09,0,False
2020-02-16,45,False
2020-02-23,59,False
2020-03-01,58,False
2020-03-08,29,False
2020-03-15,41,False
2020-03-22,27,False
2020-03-29,40,False
2020-04-05,26,False
2020-04-12,53,False
2020-04-19,26,False
2020-04-26,25,False
2020-05-03,26,False
2020-05-10,40,False
2020-05-17,33,True
