date,apprendre à dessiner,isPartial
2018-01-07,51,False
2018-01-14,25,False
2018-01-21,25,False
2018-01-28,26,False
2018-02-04,26,False
2018-02-11,43,False
2018-02-18,26,False
2018-02-25,0,False
2018-03-04,100,False
2018-03-11,76,False
2018-03-18,26,False
2018-03-25,35,False
2018-04-01,27,False
2018-04-08,0,False
2018-04-15,30,False
2018-04-22,27,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,26,False
2018-05-20,41,False
2018-05-27,27,False
2018-06-03,0,False
2018-06-10,26,False
2018-06-17,27,False
2018-06-24,55,False
2018-07-01,0,False
2018-07-08,27,False
2018-07-15,28,False
2018-07-22,29,False
2018-07-29,29,False
2018-08-05,29,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,42,False
2018-09-02,27,False
2018-09-09,55,False
2018-09-16,41,False
2018-09-23,56,False
2018-09-30,41,False
2018-10-07,41,False
2018-10-14,28,False
2018-10-21,28,False
2018-10-28,46,False
2018-11-04,27,False
2018-11-11,27,False
2018-11-18,26,False
2018-11-25,40,False
2018-12-02,39,False
2018-12-09,27,False
2018-12-16,27,False
2018-12-23,60,False
2018-12-30,28,False
2019-01-06,26,False
2019-01-13,26,False
2019-01-20,0,False
2019-01-27,49,False
2019-02-03,51,False
2019-02-10,26,False
2019-02-17,27,False
2019-02-24,52,False
2019-03-03,25,False
2019-03-10,25,False
2019-03-17,27,False
2019-03-24,25,False
2019-03-31,41,False
2019-04-07,25,False
2019-04-14,51,False
2019-04-21,26,False
2019-04-28,25,False
2019-05-05,24,False
2019-05-12,24,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,24,False
2019-06-16,25,False
2019-06-23,51,False
2019-06-30,0,False
2019-07-07,24,False
2019-07-14,25,False
2019-07-21,34,False
2019-07-28,0,False
2019-08-04,26,False
2019-08-11,28,False
2019-08-18,28,False
2019-08-25,26,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,60,False
2019-09-22,24,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,24,False
2019-10-20,36,False
2019-10-27,46,False
2019-11-03,45,False
2019-11-10,34,False
2019-11-17,23,False
2019-11-24,29,False
2019-12-01,22,False
2019-12-08,29,False
2019-12-15,52,False
2019-12-22,49,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,22,False
2020-01-26,21,False
2020-02-02,43,False
2020-02-09,21,False
2020-02-16,41,False
2020-02-23,41,False
2020-03-01,41,False
2020-03-08,31,False
2020-03-15,59,False
2020-03-22,51,False
2020-03-29,39,False
2020-04-05,52,False
2020-04-12,45,False
2020-04-19,73,False
2020-04-26,56,False
2020-05-03,38,False
2020-05-10,26,False
2020-05-17,33,True
