date,apprendre à dessiner,isPartial
2018-01-07,0,False
2018-01-14,36,False
2018-01-21,36,False
2018-01-28,54,False
2018-02-04,71,False
2018-02-11,73,False
2018-02-18,0,False
2018-02-25,38,False
2018-03-04,38,False
2018-03-11,0,False
2018-03-18,38,False
2018-03-25,38,False
2018-04-01,38,False
2018-04-08,37,False
2018-04-15,0,False
2018-04-22,37,False
2018-04-29,39,False
2018-05-06,40,False
2018-05-13,38,False
2018-05-20,38,False
2018-05-27,37,False
2018-06-03,74,False
2018-06-10,36,False
2018-06-17,38,False
2018-06-24,0,False
2018-07-01,55,False
2018-07-08,38,False
2018-07-15,41,False
2018-07-22,40,False
2018-07-29,0,False
2018-08-05,41,False
2018-08-12,41,False
2018-08-19,0,False
2018-08-26,38,False
2018-09-02,39,False
2018-09-09,39,False
2018-09-16,0,False
2018-09-23,38,False
2018-09-30,38,False
2018-10-07,0,False
2018-10-14,39,False
2018-10-21,39,False
2018-10-28,38,False
2018-11-04,36,False
2018-11-11,35,False
2018-11-18,35,False
2018-11-25,35,False
2018-12-02,35,False
2018-12-09,71,False
2018-12-16,37,False
2018-12-23,80,False
2018-12-30,39,False
2019-01-06,0,False
2019-01-13,70,False
2019-01-20,52,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,56,False
2019-02-17,38,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,37,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,37,False
2019-04-28,0,False
2019-05-05,36,False
2019-05-12,0,False
2019-05-19,37,False
2019-05-26,38,False
2019-06-02,69,False
2019-06-09,36,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,38,False
2019-07-21,0,False
2019-07-28,39,False
2019-08-04,0,False
2019-08-11,55,False
2019-08-18,0,False
2019-08-25,36,False
2019-09-01,35,False
2019-09-08,36,False
2019-09-15,71,False
2019-09-22,33,False
2019-09-29,34,False
2019-10-06,34,False
2019-10-13,0,False
2019-10-20,100,False
2019-10-27,32,False
2019-11-03,48,False
2019-11-10,33,False
2019-11-17,33,False
2019-11-24,31,False
2019-12-01,33,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,36,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,31,False
2020-01-19,0,False
2020-01-26,52,False
2020-02-02,0,False
2020-02-09,78,False
2020-02-16,32,False
2020-02-23,31,False
2020-03-01,30,False
2020-03-08,45,False
2020-03-15,53,False
2020-03-22,77,False
2020-03-29,51,False
2020-04-05,26,False
2020-04-12,40,False
2020-04-19,52,False
2020-04-26,36,False
2020-05-03,41,False
2020-05-10,41,False
2020-05-17,34,True
