date,Fenster,isPartial
2018-01-07,28,False
2018-01-14,47,False
2018-01-21,38,False
2018-01-28,75,False
2018-02-04,37,False
2018-02-11,38,False
2018-02-18,18,False
2018-02-25,90,False
2018-03-04,36,False
2018-03-11,27,False
2018-03-18,0,False
2018-03-25,47,False
2018-04-01,75,False
2018-04-08,19,False
2018-04-15,29,False
2018-04-22,18,False
2018-04-29,56,False
2018-05-06,19,False
2018-05-13,37,False
2018-05-20,63,False
2018-05-27,45,False
2018-06-03,26,False
2018-06-10,41,False
2018-06-17,52,False
2018-06-24,59,False
2018-07-01,36,False
2018-07-08,59,False
2018-07-15,35,False
2018-07-22,35,False
2018-07-29,53,False
2018-08-05,25,False
2018-08-12,26,False
2018-08-19,25,False
2018-08-26,33,False
2018-09-02,42,False
2018-09-09,51,False
2018-09-16,68,False
2018-09-23,35,False
2018-09-30,51,False
2018-10-07,26,False
2018-10-14,52,False
2018-10-21,42,False
2018-10-28,52,False
2018-11-04,58,False
2018-11-11,42,False
2018-11-18,16,False
2018-11-25,33,False
2018-12-02,17,False
2018-12-09,16,False
2018-12-16,69,False
2018-12-23,35,False
2018-12-30,15,False
2019-01-06,46,False
2019-01-13,23,False
2019-01-20,53,False
2019-01-27,39,False
2019-02-03,31,False
2019-02-10,50,False
2019-02-17,15,False
2019-02-24,15,False
2019-03-03,15,False
2019-03-10,46,False
2019-03-17,47,False
2019-03-24,39,False
2019-03-31,55,False
2019-04-07,46,False
2019-04-14,58,False
2019-04-21,63,False
2019-04-28,15,False
2019-05-05,37,False
2019-05-12,28,False
2019-05-19,45,False
2019-05-26,14,False
2019-06-02,31,False
2019-06-09,68,False
2019-06-16,60,False
2019-06-23,39,False
2019-06-30,38,False
2019-07-07,45,False
2019-07-14,38,False
2019-07-21,54,False
2019-07-28,45,False
2019-08-04,31,False
2019-08-11,74,False
2019-08-18,42,False
2019-08-25,71,False
2019-09-01,42,False
2019-09-08,74,False
2019-09-15,52,False
2019-09-22,50,False
2019-09-29,57,False
2019-10-06,43,False
2019-10-13,65,False
2019-10-20,28,False
2019-10-27,49,False
2019-11-03,27,False
2019-11-10,13,False
2019-11-17,69,False
2019-11-24,55,False
2019-12-01,28,False
2019-12-08,57,False
2019-12-15,36,False
2019-12-22,15,False
2019-12-29,34,False
2020-01-05,45,False
2020-01-12,61,False
2020-01-19,66,False
2020-01-26,44,False
2020-02-02,39,False
2020-02-09,28,False
2020-02-16,39,False
2020-02-23,44,False
2020-03-01,25,False
2020-03-08,52,False
2020-03-15,32,False
2020-03-22,51,False
2020-03-29,16,False
2020-04-05,59,False
2020-04-12,33,False
2020-04-19,64,False
2020-04-26,27,False
2020-05-03,56,False
2020-05-10,100,False
2020-05-17,36,False
2020-05-24,49,False
2020-05-31,38,False
2020-06-07,22,False
2020-06-14,55,False
2020-06-21,29,False
2020-06-28,30,False
2020-07-05,25,False
