date,Terrassenplatten verlegen,isPartial
2018-01-07,5,False
2018-01-14,13,False
2018-01-21,6,False
2018-01-28,18,False
2018-02-04,10,False
2018-02-11,15,False
2018-02-18,23,False
2018-02-25,20,False
2018-03-04,20,False
2018-03-11,26,False
2018-03-18,30,False
2018-03-25,35,False
2018-04-01,48,False
2018-04-08,36,False
2018-04-15,63,False
2018-04-22,51,False
2018-04-29,55,False
2018-05-06,45,False
2018-05-13,40,False
2018-05-20,46,False
2018-05-27,34,False
2018-06-03,32,False
2018-06-10,43,False
2018-06-17,29,False
2018-06-24,34,False
2018-07-01,25,False
2018-07-08,35,False
2018-07-15,33,False
2018-07-22,39,False
2018-07-29,22,False
2018-08-05,27,False
2018-08-12,24,False
2018-08-19,21,False
2018-08-26,22,False
2018-09-02,8,False
2018-09-09,25,False
2018-09-16,20,False
2018-09-23,15,False
2018-09-30,22,False
2018-10-07,13,False
2018-10-14,18,False
2018-10-21,13,False
2018-10-28,8,False
2018-11-04,19,False
2018-11-11,21,False
2018-11-18,5,False
2018-11-25,6,False
2018-12-02,7,False
2018-12-09,10,False
2018-12-16,15,False
2018-12-23,6,False
2018-12-30,10,False
2019-01-06,16,False
2019-01-13,7,False
2019-01-20,5,False
2019-01-27,14,False
2019-02-03,7,False
2019-02-10,19,False
2019-02-17,20,False
2019-02-24,37,False
2019-03-03,20,False
2019-03-10,41,False
2019-03-17,35,False
2019-03-24,25,False
2019-03-31,48,False
2019-04-07,34,False
2019-04-14,57,False
2019-04-21,55,False
2019-04-28,33,False
2019-05-05,55,False
2019-05-12,35,False
2019-05-19,53,False
2019-05-26,39,False
2019-06-02,31,False
2019-06-09,29,False
2019-06-16,45,False
2019-06-23,24,False
2019-06-30,25,False
2019-07-07,28,False
2019-07-14,34,False
2019-07-21,17,False
2019-07-28,35,False
2019-08-04,40,False
2019-08-11,26,False
2019-08-18,21,False
2019-08-25,13,False
2019-09-01,20,False
2019-09-08,22,False
2019-09-15,21,False
2019-09-22,17,False
2019-09-29,17,False
2019-10-06,11,False
2019-10-13,20,False
2019-10-20,9,False
2019-10-27,16,False
2019-11-03,9,False
2019-11-10,9,False
2019-11-17,4,False
2019-11-24,7,False
2019-12-01,9,False
2019-12-08,7,False
2019-12-15,9,False
2019-12-22,18,False
2019-12-29,8,False
2020-01-05,16,False
2020-01-12,16,False
2020-01-19,8,False
2020-01-26,7,False
2020-02-02,19,False
2020-02-09,19,False
2020-02-16,21,False
2020-02-23,14,False
2020-03-01,14,False
2020-03-08,24,False
2020-03-15,28,False
2020-03-22,31,False
2020-03-29,46,False
2020-04-05,73,False
2020-04-12,100,False
2020-04-19,64,False
2020-04-26,58,False
2020-05-03,63,False
2020-05-10,69,False
