date,girare video,isPartial
2018-01-07,34,False
2018-01-14,34,False
2018-01-21,33,False
2018-01-28,100,False
2018-02-04,66,False
2018-02-11,0,False
2018-02-18,60,False
2018-02-25,30,False
2018-03-04,60,False
2018-03-11,91,False
2018-03-18,61,False
2018-03-25,33,False
2018-04-01,51,False
2018-04-08,30,False
2018-04-15,31,False
2018-04-22,0,False
2018-04-29,94,False
2018-05-06,45,False
2018-05-13,30,False
2018-05-20,30,False
2018-05-27,31,False
2018-06-03,32,False
2018-06-10,0,False
2018-06-17,59,False
2018-06-24,32,False
2018-07-01,31,False
2018-07-08,0,False
2018-07-15,33,False
2018-07-22,32,False
2018-07-29,33,False
2018-08-05,70,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,31,False
2018-09-09,30,False
2018-09-16,58,False
2018-09-23,30,False
2018-09-30,30,False
2018-10-07,31,False
2018-10-14,0,False
2018-10-21,30,False
2018-10-28,30,False
2018-11-04,29,False
2018-11-11,30,False
2018-11-18,30,False
2018-11-25,46,False
2018-12-02,42,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,41,False
2018-12-30,0,False
2019-01-06,34,False
2019-01-13,33,False
2019-01-20,32,False
2019-01-27,0,False
2019-02-03,66,False
2019-02-10,0,False
2019-02-17,67,False
2019-02-24,0,False
2019-03-03,52,False
2019-03-10,69,False
2019-03-17,0,False
2019-03-24,51,False
2019-03-31,0,False
2019-04-07,32,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,66,False
2019-05-05,30,False
2019-05-12,32,False
2019-05-19,32,False
2019-05-26,0,False
2019-06-02,33,False
2019-06-09,33,False
2019-06-16,34,False
2019-06-23,35,False
2019-06-30,72,False
2019-07-07,0,False
2019-07-14,54,False
2019-07-21,35,False
2019-07-28,76,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,42,False
2019-08-25,37,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,32,False
2019-09-22,32,False
2019-09-29,0,False
2019-10-06,33,False
2019-10-13,0,False
2019-10-20,32,False
2019-10-27,32,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,31,False
2019-11-24,32,False
2019-12-01,65,False
2019-12-08,0,False
2019-12-15,33,False
2019-12-22,40,False
2019-12-29,0,False
2020-01-05,33,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,30,False
2020-02-09,31,False
2020-02-16,0,False
2020-02-23,29,False
2020-03-01,29,False
2020-03-08,0,False
2020-03-15,43,False
2020-03-22,0,False
2020-03-29,56,False
2020-04-05,29,False
2020-04-12,59,False
2020-04-19,41,False
2020-04-26,0,True
