date,girare video,isPartial
2018-01-07,52,False
2018-01-14,0,False
2018-01-21,25,False
2018-01-28,26,False
2018-02-04,25,False
2018-02-11,25,False
2018-02-18,24,False
2018-02-25,48,False
2018-03-04,0,False
2018-03-11,24,False
2018-03-18,49,False
2018-03-25,25,False
2018-04-01,53,False
2018-04-08,72,False
2018-04-15,25,False
2018-04-22,26,False
2018-04-29,75,False
2018-05-06,36,False
2018-05-13,48,False
2018-05-20,24,False
2018-05-27,24,False
2018-06-03,75,False
2018-06-10,73,False
2018-06-17,25,False
2018-06-24,25,False
2018-07-01,25,False
2018-07-08,38,False
2018-07-15,51,False
2018-07-22,26,False
2018-07-29,27,False
2018-08-05,29,False
2018-08-12,100,False
2018-08-19,33,False
2018-08-26,40,False
2018-09-02,48,False
2018-09-09,24,False
2018-09-16,47,False
2018-09-23,24,False
2018-09-30,47,False
2018-10-07,24,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,47,False
2018-11-04,45,False
2018-11-11,35,False
2018-11-18,0,False
2018-11-25,23,False
2018-12-02,0,False
2018-12-09,23,False
2018-12-16,24,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,24,False
2019-01-13,23,False
2019-01-20,23,False
2019-01-27,0,False
2019-02-03,46,False
2019-02-10,23,False
2019-02-17,23,False
2019-02-24,24,False
2019-03-03,47,False
2019-03-10,24,False
2019-03-17,0,False
2019-03-24,24,False
2019-03-31,24,False
2019-04-07,36,False
2019-04-14,25,False
2019-04-21,41,False
2019-04-28,25,False
2019-05-05,24,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,45,False
2019-06-02,24,False
2019-06-09,24,False
2019-06-16,24,False
2019-06-23,50,False
2019-06-30,25,False
2019-07-07,37,False
2019-07-14,25,False
2019-07-21,26,False
2019-07-28,0,False
2019-08-04,29,False
2019-08-11,0,False
2019-08-18,60,False
2019-08-25,27,False
2019-09-01,0,False
2019-09-08,23,False
2019-09-15,45,False
2019-09-22,22,False
2019-09-29,22,False
2019-10-06,23,False
2019-10-13,22,False
2019-10-20,43,False
2019-10-27,22,False
2019-11-03,0,False
2019-11-10,22,False
2019-11-17,63,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,33,False
2019-12-15,34,False
2019-12-22,27,False
2019-12-29,0,False
2020-01-05,22,False
2020-01-12,20,False
2020-01-19,21,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,31,False
2020-02-16,0,False
2020-02-23,19,False
2020-03-01,0,False
2020-03-08,19,False
2020-03-15,59,False
2020-03-22,37,False
2020-03-29,19,False
2020-04-05,20,False
2020-04-12,50,False
2020-04-19,29,False
2020-04-26,32,True
