date,pose climatisation,isPartial
2018-01-07,5,False
2018-01-14,9,False
2018-01-21,9,False
2018-01-28,7,False
2018-02-04,5,False
2018-02-11,8,False
2018-02-18,10,False
2018-02-25,12,False
2018-03-04,9,False
2018-03-11,5,False
2018-03-18,7,False
2018-03-25,7,False
2018-04-01,8,False
2018-04-08,9,False
2018-04-15,19,False
2018-04-22,18,False
2018-04-29,11,False
2018-05-06,7,False
2018-05-13,14,False
2018-05-20,10,False
2018-05-27,14,False
2018-06-03,13,False
2018-06-10,13,False
2018-06-17,25,False
2018-06-24,6,False
2018-07-01,29,False
2018-07-08,31,False
2018-07-15,7,False
2018-07-22,24,False
2018-07-29,52,False
2018-08-05,48,False
2018-08-12,28,False
2018-08-19,12,False
2018-08-26,10,False
2018-09-02,8,False
2018-09-09,10,False
2018-09-16,10,False
2018-09-23,12,False
2018-09-30,14,False
2018-10-07,7,False
2018-10-14,12,False
2018-10-21,13,False
2018-10-28,7,False
2018-11-04,9,False
2018-11-11,7,False
2018-11-18,9,False
2018-11-25,14,False
2018-12-02,5,False
2018-12-09,10,False
2018-12-16,5,False
2018-12-23,16,False
2018-12-30,17,False
2019-01-06,12,False
2019-01-13,7,False
2019-01-20,8,False
2019-01-27,7,False
2019-02-03,12,False
2019-02-10,5,False
2019-02-17,11,False
2019-02-24,5,False
2019-03-03,11,False
2019-03-10,16,False
2019-03-17,13,False
2019-03-24,10,False
2019-03-31,16,False
2019-04-07,6,False
2019-04-14,6,False
2019-04-21,10,False
2019-04-28,12,False
2019-05-05,9,False
2019-05-12,14,False
2019-05-19,14,False
2019-05-26,17,False
2019-06-02,20,False
2019-06-09,15,False
2019-06-16,34,False
2019-06-23,100,False
2019-06-30,63,False
2019-07-07,46,False
2019-07-14,29,False
2019-07-21,57,False
2019-07-28,18,False
2019-08-04,18,False
2019-08-11,20,False
2019-08-18,8,False
2019-08-25,6,False
2019-09-01,6,False
2019-09-08,7,False
2019-09-15,13,False
2019-09-22,19,False
2019-09-29,14,False
2019-10-06,10,False
2019-10-13,9,False
2019-10-20,13,False
2019-10-27,6,False
2019-11-03,8,False
2019-11-10,9,False
2019-11-17,4,False
2019-11-24,4,False
2019-12-01,10,False
2019-12-08,8,False
2019-12-15,4,False
2019-12-22,7,False
2019-12-29,15,False
2020-01-05,16,False
2020-01-12,16,False
2020-01-19,18,False
2020-01-26,12,False
2020-02-02,15,False
2020-02-09,13,False
2020-02-16,23,False
2020-02-23,17,False
2020-03-01,16,False
2020-03-08,16,False
2020-03-15,6,False
2020-03-22,4,False
2020-03-29,8,False
2020-04-05,6,False
2020-04-12,14,False
2020-04-19,16,False
2020-04-26,18,False
2020-05-03,23,False
2020-05-10,29,False
2020-05-17,21,True
