date,pose climatisation,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,29,False
2018-02-25,0,False
2018-03-04,20,False
2018-03-11,20,False
2018-03-18,20,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,42,False
2018-04-22,21,False
2018-04-29,20,False
2018-05-06,20,False
2018-05-13,20,False
2018-05-20,20,False
2018-05-27,29,False
2018-06-03,19,False
2018-06-10,28,False
2018-06-17,27,False
2018-06-24,20,False
2018-07-01,19,False
2018-07-08,29,False
2018-07-15,20,False
2018-07-22,39,False
2018-07-29,45,False
2018-08-05,19,False
2018-08-12,26,False
2018-08-19,30,False
2018-08-26,0,False
2018-09-02,30,False
2018-09-09,20,False
2018-09-16,30,False
2018-09-23,20,False
2018-09-30,20,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,20,False
2018-11-04,0,False
2018-11-11,21,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,21,False
2018-12-16,21,False
2018-12-23,0,False
2018-12-30,23,False
2019-01-06,21,False
2019-01-13,61,False
2019-01-20,20,False
2019-01-27,0,False
2019-02-03,20,False
2019-02-10,0,False
2019-02-17,21,False
2019-02-24,20,False
2019-03-03,20,False
2019-03-10,20,False
2019-03-17,0,False
2019-03-24,21,False
2019-03-31,20,False
2019-04-07,0,False
2019-04-14,41,False
2019-04-21,19,False
2019-04-28,20,False
2019-05-05,26,False
2019-05-12,20,False
2019-05-19,0,False
2019-05-26,19,False
2019-06-02,27,False
2019-06-09,73,False
2019-06-16,19,False
2019-06-23,81,False
2019-06-30,68,False
2019-07-07,49,False
2019-07-14,38,False
2019-07-21,19,False
2019-07-28,38,False
2019-08-04,19,False
2019-08-11,17,False
2019-08-18,32,False
2019-08-25,17,False
2019-09-01,27,False
2019-09-08,18,False
2019-09-15,27,False
2019-09-22,36,False
2019-09-29,18,False
2019-10-06,19,False
2019-10-13,18,False
2019-10-20,0,False
2019-10-27,18,False
2019-11-03,0,False
2019-11-10,18,False
2019-11-17,26,False
2019-11-24,18,False
2019-12-01,18,False
2019-12-08,18,False
2019-12-15,17,False
2019-12-22,20,False
2019-12-29,0,False
2020-01-05,17,False
2020-01-12,33,False
2020-01-19,28,False
2020-01-26,17,False
2020-02-02,26,False
2020-02-09,34,False
2020-02-16,17,False
2020-02-23,16,False
2020-03-01,16,False
2020-03-08,24,False
2020-03-15,15,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,14,False
2020-04-12,22,False
2020-04-19,14,False
2020-04-26,20,False
2020-05-03,36,False
2020-05-10,14,False
2020-05-17,100,True
