date,Japanischer Garten,isPartial
2018-01-07,15,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,16,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,31,False
2018-03-11,15,False
2018-03-18,23,False
2018-03-25,25,False
2018-04-01,51,False
2018-04-08,66,False
2018-04-15,100,False
2018-04-22,58,False
2018-04-29,85,False
2018-05-06,42,False
2018-05-13,24,False
2018-05-20,17,False
2018-05-27,25,False
2018-06-03,48,False
2018-06-10,16,False
2018-06-17,32,False
2018-06-24,23,False
2018-07-01,48,False
2018-07-08,0,False
2018-07-15,17,False
2018-07-22,34,False
2018-07-29,25,False
2018-08-05,0,False
2018-08-12,17,False
2018-08-19,16,False
2018-08-26,16,False
2018-09-02,16,False
2018-09-09,16,False
2018-09-16,16,False
2018-09-23,16,False
2018-09-30,0,False
2018-10-07,16,False
2018-10-14,16,False
2018-10-21,24,False
2018-10-28,16,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,16,False
2018-12-02,0,False
2018-12-09,16,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,40,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,44,False
2019-02-03,15,False
2019-02-10,0,False
2019-02-17,15,False
2019-02-24,29,False
2019-03-03,44,False
2019-03-10,0,False
2019-03-17,38,False
2019-03-24,53,False
2019-03-31,70,False
2019-04-07,61,False
2019-04-14,17,False
2019-04-21,32,False
2019-04-28,38,False
2019-05-05,29,False
2019-05-12,45,False
2019-05-19,30,False
2019-05-26,45,False
2019-06-02,15,False
2019-06-09,47,False
2019-06-16,15,False
2019-06-23,31,False
2019-06-30,31,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,32,False
2019-08-04,33,False
2019-08-11,16,False
2019-08-18,23,False
2019-08-25,23,False
2019-09-01,0,False
2019-09-08,61,False
2019-09-15,30,False
2019-09-22,15,False
2019-09-29,0,False
2019-10-06,29,False
2019-10-13,15,False
2019-10-20,14,False
2019-10-27,14,False
2019-11-03,14,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,29,False
2019-12-22,0,False
2019-12-29,15,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,26,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,13,False
2020-02-23,12,False
2020-03-01,0,False
2020-03-08,12,False
2020-03-15,25,False
2020-03-22,12,False
2020-03-29,12,False
2020-04-05,60,False
2020-04-12,45,False
2020-04-19,44,False
2020-04-26,44,False
2020-05-03,51,False
2020-05-10,32,False
2020-05-17,41,False
2020-05-24,13,False
2020-05-31,32,False
2020-06-07,45,False
2020-06-14,25,False
2020-06-21,19,False
2020-06-28,13,False
2020-07-05,14,False
