date,Straßenbau,isPartial
2018-01-07,37,False
2018-01-14,55,False
2018-01-21,27,False
2018-01-28,46,False
2018-02-04,38,False
2018-02-11,38,False
2018-02-18,28,False
2018-02-25,46,False
2018-03-04,44,False
2018-03-11,25,False
2018-03-18,38,False
2018-03-25,60,False
2018-04-01,100,False
2018-04-08,53,False
2018-04-15,40,False
2018-04-22,38,False
2018-04-29,40,False
2018-05-06,40,False
2018-05-13,19,False
2018-05-20,39,False
2018-05-27,29,False
2018-06-03,20,False
2018-06-10,37,False
2018-06-17,19,False
2018-06-24,40,False
2018-07-01,79,False
2018-07-08,26,False
2018-07-15,0,False
2018-07-22,20,False
2018-07-29,38,False
2018-08-05,37,False
2018-08-12,37,False
2018-08-19,38,False
2018-08-26,38,False
2018-09-02,38,False
2018-09-09,19,False
2018-09-16,57,False
2018-09-23,77,False
2018-09-30,41,False
2018-10-07,33,False
2018-10-14,26,False
2018-10-21,44,False
2018-10-28,28,False
2018-11-04,18,False
2018-11-11,46,False
2018-11-18,36,False
2018-11-25,73,False
2018-12-02,0,False
2018-12-09,46,False
2018-12-16,25,False
2018-12-23,27,False
2018-12-30,0,False
2019-01-06,44,False
2019-01-13,35,False
2019-01-20,17,False
2019-01-27,26,False
2019-02-03,17,False
2019-02-10,27,False
2019-02-17,55,False
2019-02-24,38,False
2019-03-03,45,False
2019-03-10,23,False
2019-03-17,73,False
2019-03-24,61,False
2019-03-31,37,False
2019-04-07,54,False
2019-04-14,19,False
2019-04-21,25,False
2019-04-28,18,False
2019-05-05,29,False
2019-05-12,37,False
2019-05-19,30,False
2019-05-26,45,False
2019-06-02,18,False
2019-06-09,0,False
2019-06-16,18,False
2019-06-23,28,False
2019-06-30,28,False
2019-07-07,37,False
2019-07-14,29,False
2019-07-21,20,False
2019-07-28,19,False
2019-08-04,25,False
2019-08-11,18,False
2019-08-18,30,False
2019-08-25,27,False
2019-09-01,35,False
2019-09-08,36,False
2019-09-15,30,False
2019-09-22,44,False
2019-09-29,18,False
2019-10-06,23,False
2019-10-13,34,False
2019-10-20,51,False
2019-10-27,17,False
2019-11-03,16,False
2019-11-10,22,False
2019-11-17,33,False
2019-11-24,33,False
2019-12-01,17,False
2019-12-08,25,False
2019-12-15,34,False
2019-12-22,27,False
2019-12-29,35,False
2020-01-05,48,False
2020-01-12,15,False
2020-01-19,37,False
2020-01-26,26,False
2020-02-02,31,False
2020-02-09,26,False
2020-02-16,25,False
2020-02-23,31,False
2020-03-01,31,False
2020-03-08,28,False
2020-03-15,27,False
2020-03-22,33,False
2020-03-29,13,False
2020-04-05,25,False
2020-04-12,28,False
2020-04-19,14,False
2020-04-26,31,False
2020-05-03,18,False
2020-05-10,32,False
