date,ricette dolci,isPartial
2018-01-07,21,False
2018-01-14,28,False
2018-01-21,30,False
2018-01-28,32,False
2018-02-04,18,False
2018-02-11,26,False
2018-02-18,36,False
2018-02-25,31,False
2018-03-04,34,False
2018-03-11,29,False
2018-03-18,39,False
2018-03-25,26,False
2018-04-01,19,False
2018-04-08,20,False
2018-04-15,15,False
2018-04-22,16,False
2018-04-29,20,False
2018-05-06,23,False
2018-05-13,22,False
2018-05-20,32,False
2018-05-27,10,False
2018-06-03,18,False
2018-06-10,21,False
2018-06-17,22,False
2018-06-24,14,False
2018-07-01,17,False
2018-07-08,12,False
2018-07-15,13,False
2018-07-22,12,False
2018-07-29,23,False
2018-08-05,11,False
2018-08-12,21,False
2018-08-19,11,False
2018-08-26,21,False
2018-09-02,23,False
2018-09-09,14,False
2018-09-16,11,False
2018-09-23,21,False
2018-09-30,32,False
2018-10-07,22,False
2018-10-14,27,False
2018-10-21,25,False
2018-10-28,24,False
2018-11-04,29,False
2018-11-11,13,False
2018-11-18,28,False
2018-11-25,49,False
2018-12-02,37,False
2018-12-09,15,False
2018-12-16,35,False
2018-12-23,28,False
2018-12-30,44,False
2019-01-06,17,False
2019-01-13,28,False
2019-01-20,16,False
2019-01-27,21,False
2019-02-03,36,False
2019-02-10,32,False
2019-02-17,26,False
2019-02-24,30,False
2019-03-03,25,False
2019-03-10,30,False
2019-03-17,24,False
2019-03-24,23,False
2019-03-31,12,False
2019-04-07,21,False
2019-04-14,14,False
2019-04-21,18,False
2019-04-28,24,False
2019-05-05,21,False
2019-05-12,16,False
2019-05-19,14,False
2019-05-26,11,False
2019-06-02,19,False
2019-06-09,10,False
2019-06-16,8,False
2019-06-23,10,False
2019-06-30,5,False
2019-07-07,14,False
2019-07-14,17,False
2019-07-21,15,False
2019-07-28,12,False
2019-08-04,12,False
2019-08-11,12,False
2019-08-18,15,False
2019-08-25,37,False
2019-09-01,10,False
2019-09-08,31,False
2019-09-15,13,False
2019-09-22,27,False
2019-09-29,14,False
2019-10-06,18,False
2019-10-13,16,False
2019-10-20,20,False
2019-10-27,32,False
2019-11-03,22,False
2019-11-10,32,False
2019-11-17,19,False
2019-11-24,20,False
2019-12-01,23,False
2019-12-08,31,False
2019-12-15,26,False
2019-12-22,21,False
2019-12-29,20,False
2020-01-05,11,False
2020-01-12,33,False
2020-01-19,29,False
2020-01-26,24,False
2020-02-02,21,False
2020-02-09,18,False
2020-02-16,22,False
2020-02-23,28,False
2020-03-01,19,False
2020-03-08,61,False
2020-03-15,82,False
2020-03-22,100,False
2020-03-29,84,False
2020-04-05,92,False
2020-04-12,46,False
2020-04-19,44,False
2020-04-26,38,True
