date,ricette dolci,isPartial
2018-01-07,33,False
2018-01-14,41,False
2018-01-21,29,False
2018-01-28,49,False
2018-02-04,45,False
2018-02-11,21,False
2018-02-18,47,False
2018-02-25,45,False
2018-03-04,30,False
2018-03-11,30,False
2018-03-18,18,False
2018-03-25,27,False
2018-04-01,9,False
2018-04-08,27,False
2018-04-15,14,False
2018-04-22,9,False
2018-04-29,27,False
2018-05-06,13,False
2018-05-13,35,False
2018-05-20,18,False
2018-05-27,9,False
2018-06-03,9,False
2018-06-10,34,False
2018-06-17,9,False
2018-06-24,4,False
2018-07-01,9,False
2018-07-08,18,False
2018-07-15,4,False
2018-07-22,5,False
2018-07-29,14,False
2018-08-05,9,False
2018-08-12,24,False
2018-08-19,14,False
2018-08-26,17,False
2018-09-02,26,False
2018-09-09,13,False
2018-09-16,22,False
2018-09-23,44,False
2018-09-30,31,False
2018-10-07,36,False
2018-10-14,45,False
2018-10-21,22,False
2018-10-28,38,False
2018-11-04,30,False
2018-11-11,36,False
2018-11-18,18,False
2018-11-25,26,False
2018-12-02,23,False
2018-12-09,33,False
2018-12-16,24,False
2018-12-23,21,False
2018-12-30,9,False
2019-01-06,22,False
2019-01-13,17,False
2019-01-20,25,False
2019-01-27,20,False
2019-02-03,37,False
2019-02-10,37,False
2019-02-17,34,False
2019-02-24,13,False
2019-03-03,17,False
2019-03-10,25,False
2019-03-17,17,False
2019-03-24,9,False
2019-03-31,4,False
2019-04-07,25,False
2019-04-14,18,False
2019-04-21,9,False
2019-04-28,16,False
2019-05-05,24,False
2019-05-12,16,False
2019-05-19,40,False
2019-05-26,12,False
2019-06-02,13,False
2019-06-09,25,False
2019-06-16,21,False
2019-06-23,17,False
2019-06-30,13,False
2019-07-07,21,False
2019-07-14,9,False
2019-07-21,13,False
2019-07-28,26,False
2019-08-04,23,False
2019-08-11,5,False
2019-08-18,18,False
2019-08-25,12,False
2019-09-01,16,False
2019-09-08,29,False
2019-09-15,12,False
2019-09-22,16,False
2019-09-29,12,False
2019-10-06,24,False
2019-10-13,36,False
2019-10-20,20,False
2019-10-27,27,False
2019-11-03,27,False
2019-11-10,15,False
2019-11-17,31,False
2019-11-24,31,False
2019-12-01,20,False
2019-12-08,12,False
2019-12-15,16,False
2019-12-22,23,False
2019-12-29,39,False
2020-01-05,23,False
2020-01-12,22,False
2020-01-19,26,False
2020-01-26,33,False
2020-02-02,18,False
2020-02-09,30,False
2020-02-16,26,False
2020-02-23,35,False
2020-03-01,24,False
2020-03-08,44,False
2020-03-15,77,False
2020-03-22,100,False
2020-03-29,92,False
2020-04-05,65,False
2020-04-12,38,False
2020-04-19,76,False
2020-04-26,51,True
