date,piscine chauffée,isPartial
2018-01-07,30,False
2018-01-14,0,False
2018-01-21,21,False
2018-01-28,15,False
2018-02-04,14,False
2018-02-11,51,False
2018-02-18,44,False
2018-02-25,35,False
2018-03-04,14,False
2018-03-11,43,False
2018-03-18,30,False
2018-03-25,52,False
2018-04-01,15,False
2018-04-08,31,False
2018-04-15,17,False
2018-04-22,46,False
2018-04-29,45,False
2018-05-06,73,False
2018-05-13,30,False
2018-05-20,47,False
2018-05-27,15,False
2018-06-03,0,False
2018-06-10,15,False
2018-06-17,31,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,31,False
2018-07-15,16,False
2018-07-22,32,False
2018-07-29,33,False
2018-08-05,16,False
2018-08-12,17,False
2018-08-19,33,False
2018-08-26,0,False
2018-09-02,31,False
2018-09-09,16,False
2018-09-16,32,False
2018-09-23,31,False
2018-09-30,23,False
2018-10-07,16,False
2018-10-14,0,False
2018-10-21,16,False
2018-10-28,16,False
2018-11-04,15,False
2018-11-11,15,False
2018-11-18,22,False
2018-11-25,15,False
2018-12-02,0,False
2018-12-09,15,False
2018-12-16,15,False
2018-12-23,34,False
2018-12-30,31,False
2019-01-06,29,False
2019-01-13,29,False
2019-01-20,100,False
2019-01-27,28,False
2019-02-03,29,False
2019-02-10,36,False
2019-02-17,30,False
2019-02-24,37,False
2019-03-03,29,False
2019-03-10,29,False
2019-03-17,23,False
2019-03-24,29,False
2019-03-31,21,False
2019-04-07,28,False
2019-04-14,29,False
2019-04-21,14,False
2019-04-28,42,False
2019-05-05,14,False
2019-05-12,55,False
2019-05-19,14,False
2019-05-26,22,False
2019-06-02,21,False
2019-06-09,0,False
2019-06-16,21,False
2019-06-23,14,False
2019-06-30,14,False
2019-07-07,0,False
2019-07-14,21,False
2019-07-21,15,False
2019-07-28,0,False
2019-08-04,30,False
2019-08-11,32,False
2019-08-18,24,False
2019-08-25,45,False
2019-09-01,27,False
2019-09-08,0,False
2019-09-15,41,False
2019-09-22,13,False
2019-09-29,28,False
2019-10-06,21,False
2019-10-13,14,False
2019-10-20,40,False
2019-10-27,26,False
2019-11-03,39,False
2019-11-10,13,False
2019-11-17,13,False
2019-11-24,12,False
2019-12-01,0,False
2019-12-08,12,False
2019-12-15,25,False
2019-12-22,42,False
2019-12-29,20,False
2020-01-05,13,False
2020-01-12,19,False
2020-01-19,13,False
2020-01-26,12,False
2020-02-02,37,False
2020-02-09,18,False
2020-02-16,24,False
2020-02-23,23,False
2020-03-01,30,False
2020-03-08,0,False
2020-03-15,11,False
2020-03-22,11,False
2020-03-29,22,False
2020-04-05,0,False
2020-04-12,22,False
2020-04-19,11,False
2020-04-26,11,False
2020-05-03,11,False
2020-05-10,0,False
2020-05-17,12,False
2020-05-24,23,False
2020-05-31,17,False
2020-06-07,17,False
2020-06-14,24,False
2020-06-21,0,True
