date,piscine chauffée,isPartial
2018-01-07,56,False
2018-01-14,37,False
2018-01-21,73,False
2018-01-28,57,False
2018-02-04,37,False
2018-02-11,38,False
2018-02-18,0,False
2018-02-25,36,False
2018-03-04,36,False
2018-03-11,0,False
2018-03-18,56,False
2018-03-25,0,False
2018-04-01,51,False
2018-04-08,0,False
2018-04-15,41,False
2018-04-22,39,False
2018-04-29,36,False
2018-05-06,37,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,75,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,38,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,36,False
2018-07-22,35,False
2018-07-29,35,False
2018-08-05,33,False
2018-08-12,34,False
2018-08-19,35,False
2018-08-26,0,False
2018-09-02,37,False
2018-09-09,0,False
2018-09-16,38,False
2018-09-23,58,False
2018-09-30,51,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,40,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,38,False
2018-11-18,38,False
2018-11-25,39,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,41,False
2018-12-23,92,False
2018-12-30,64,False
2019-01-06,0,False
2019-01-13,39,False
2019-01-20,56,False
2019-01-27,37,False
2019-02-03,57,False
2019-02-10,58,False
2019-02-17,65,False
2019-02-24,60,False
2019-03-03,40,False
2019-03-10,0,False
2019-03-17,40,False
2019-03-24,59,False
2019-03-31,38,False
2019-04-07,38,False
2019-04-14,37,False
2019-04-21,56,False
2019-04-28,0,False
2019-05-05,36,False
2019-05-12,37,False
2019-05-19,37,False
2019-05-26,37,False
2019-06-02,36,False
2019-06-09,35,False
2019-06-16,0,False
2019-06-23,37,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,34,False
2019-07-21,33,False
2019-07-28,32,False
2019-08-04,0,False
2019-08-11,63,False
2019-08-18,44,False
2019-08-25,0,False
2019-09-01,33,False
2019-09-08,34,False
2019-09-15,68,False
2019-09-22,35,False
2019-09-29,35,False
2019-10-06,35,False
2019-10-13,0,False
2019-10-20,34,False
2019-10-27,34,False
2019-11-03,0,False
2019-11-10,34,False
2019-11-17,34,False
2019-11-24,33,False
2019-12-01,34,False
2019-12-08,0,False
2019-12-15,46,False
2019-12-22,38,False
2019-12-29,36,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,53,False
2020-01-26,33,False
2020-02-02,45,False
2020-02-09,0,False
2020-02-16,33,False
2020-02-23,31,False
2020-03-01,31,False
2020-03-08,31,False
2020-03-15,0,False
2020-03-22,27,False
2020-03-29,0,False
2020-04-05,28,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,26,False
2020-05-10,0,False
2020-05-17,30,False
2020-05-24,0,False
2020-05-31,0,False
2020-06-07,28,False
2020-06-14,43,False
2020-06-21,100,True
