date,entreprise de plomberie,isPartial
2018-01-07,46,False
2018-01-14,0,False
2018-01-21,56,False
2018-01-28,61,False
2018-02-04,35,False
2018-02-11,38,False
2018-02-18,47,False
2018-02-25,54,False
2018-03-04,31,False
2018-03-11,41,False
2018-03-18,78,False
2018-03-25,47,False
2018-04-01,32,False
2018-04-08,47,False
2018-04-15,28,False
2018-04-22,16,False
2018-04-29,37,False
2018-05-06,44,False
2018-05-13,36,False
2018-05-20,42,False
2018-05-27,46,False
2018-06-03,67,False
2018-06-10,44,False
2018-06-17,47,False
2018-06-24,21,False
2018-07-01,76,False
2018-07-08,40,False
2018-07-15,33,False
2018-07-22,39,False
2018-07-29,17,False
2018-08-05,45,False
2018-08-12,26,False
2018-08-19,25,False
2018-08-26,65,False
2018-09-02,42,False
2018-09-09,53,False
2018-09-16,89,False
2018-09-23,21,False
2018-09-30,74,False
2018-10-07,48,False
2018-10-14,63,False
2018-10-21,53,False
2018-10-28,32,False
2018-11-04,46,False
2018-11-11,20,False
2018-11-18,35,False
2018-11-25,46,False
2018-12-02,31,False
2018-12-09,31,False
2018-12-16,37,False
2018-12-23,36,False
2018-12-30,22,False
2019-01-06,46,False
2019-01-13,41,False
2019-01-20,35,False
2019-01-27,50,False
2019-02-03,40,False
2019-02-10,68,False
2019-02-17,59,False
2019-02-24,47,False
2019-03-03,30,False
2019-03-10,51,False
2019-03-17,26,False
2019-03-24,47,False
2019-03-31,46,False
2019-04-07,52,False
2019-04-14,56,False
2019-04-21,63,False
2019-04-28,38,False
2019-05-05,61,False
2019-05-12,31,False
2019-05-19,40,False
2019-05-26,26,False
2019-06-02,38,False
2019-06-09,59,False
2019-06-16,36,False
2019-06-23,46,False
2019-06-30,86,False
2019-07-07,38,False
2019-07-14,39,False
2019-07-21,24,False
2019-07-28,22,False
2019-08-04,33,False
2019-08-11,33,False
2019-08-18,33,False
2019-08-25,46,False
2019-09-01,35,False
2019-09-08,44,False
2019-09-15,29,False
2019-09-22,24,False
2019-09-29,75,False
2019-10-06,38,False
2019-10-13,43,False
2019-10-20,29,False
2019-10-27,66,False
2019-11-03,37,False
2019-11-10,47,False
2019-11-17,46,False
2019-11-24,40,False
2019-12-01,41,False
2019-12-08,50,False
2019-12-15,51,False
2019-12-22,21,False
2019-12-29,66,False
2020-01-05,27,False
2020-01-12,48,False
2020-01-19,68,False
2020-01-26,27,False
2020-02-02,54,False
2020-02-09,76,False
2020-02-16,50,False
2020-02-23,100,False
2020-03-01,56,False
2020-03-08,19,False
2020-03-15,24,False
2020-03-22,48,False
2020-03-29,12,False
2020-04-05,24,False
2020-04-12,24,False
2020-04-19,28,False
2020-04-26,42,False
2020-05-03,46,False
2020-05-10,32,False
2020-05-17,29,True
