date,Metallverarbeitung,isPartial
2018-01-07,30,False
2018-01-14,30,False
2018-01-21,68,False
2018-01-28,45,False
2018-02-04,70,False
2018-02-11,48,False
2018-02-18,59,False
2018-02-25,62,False
2018-03-04,47,False
2018-03-11,47,False
2018-03-18,72,False
2018-03-25,63,False
2018-04-01,43,False
2018-04-08,97,False
2018-04-15,41,False
2018-04-22,60,False
2018-04-29,24,False
2018-05-06,74,False
2018-05-13,54,False
2018-05-20,50,False
2018-05-27,25,False
2018-06-03,55,False
2018-06-10,68,False
2018-06-17,45,False
2018-06-24,30,False
2018-07-01,34,False
2018-07-08,45,False
2018-07-15,68,False
2018-07-22,80,False
2018-07-29,23,False
2018-08-05,24,False
2018-08-12,42,False
2018-08-19,68,False
2018-08-26,62,False
2018-09-02,25,False
2018-09-09,39,False
2018-09-16,56,False
2018-09-23,32,False
2018-09-30,35,False
2018-10-07,39,False
2018-10-14,31,False
2018-10-21,54,False
2018-10-28,47,False
2018-11-04,67,False
2018-11-11,61,False
2018-11-18,37,False
2018-11-25,37,False
2018-12-02,37,False
2018-12-09,52,False
2018-12-16,39,False
2018-12-23,0,False
2018-12-30,49,False
2019-01-06,43,False
2019-01-13,56,False
2019-01-20,28,False
2019-01-27,78,False
2019-02-03,32,False
2019-02-10,58,False
2019-02-17,22,False
2019-02-24,44,False
2019-03-03,22,False
2019-03-10,44,False
2019-03-17,46,False
2019-03-24,84,False
2019-03-31,35,False
2019-04-07,82,False
2019-04-14,57,False
2019-04-21,40,False
2019-04-28,67,False
2019-05-05,29,False
2019-05-12,51,False
2019-05-19,36,False
2019-05-26,23,False
2019-06-02,23,False
2019-06-09,24,False
2019-06-16,23,False
2019-06-23,34,False
2019-06-30,51,False
2019-07-07,35,False
2019-07-14,33,False
2019-07-21,58,False
2019-07-28,38,False
2019-08-04,59,False
2019-08-11,48,False
2019-08-18,61,False
2019-08-25,35,False
2019-09-01,30,False
2019-09-08,22,False
2019-09-15,100,False
2019-09-22,50,False
2019-09-29,43,False
2019-10-06,35,False
2019-10-13,42,False
2019-10-20,63,False
2019-10-27,32,False
2019-11-03,27,False
2019-11-10,42,False
2019-11-17,52,False
2019-11-24,61,False
2019-12-01,21,False
2019-12-08,56,False
2019-12-15,43,False
2019-12-22,25,False
2019-12-29,45,False
2020-01-05,33,False
2020-01-12,59,False
2020-01-19,40,False
2020-01-26,46,False
2020-02-02,0,False
2020-02-09,51,False
2020-02-16,30,False
2020-02-23,40,False
2020-03-01,45,False
2020-03-08,30,False
2020-03-15,89,False
2020-03-22,18,False
2020-03-29,42,False
2020-04-05,33,False
2020-04-12,56,False
2020-04-19,28,False
2020-04-26,24,False
2020-05-03,49,False
2020-05-10,27,False
