date,Glas Design,isPartial
2018-01-07,50,False
2018-01-14,98,False
2018-01-21,0,False
2018-01-28,50,False
2018-02-04,0,False
2018-02-11,100,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,98,False
2018-03-11,74,False
2018-03-18,0,False
2018-03-25,52,False
2018-04-01,51,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,49,False
2018-04-29,77,False
2018-05-06,0,False
2018-05-13,50,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,50,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,50,False
2018-07-01,0,False
2018-07-08,52,False
2018-07-15,55,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,47,False
2018-08-12,47,False
2018-08-19,0,False
2018-08-26,97,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,49,False
2018-09-23,50,False
2018-09-30,0,False
2018-10-07,52,False
2018-10-14,50,False
2018-10-21,48,False
2018-10-28,48,False
2018-11-04,48,False
2018-11-11,49,False
2018-11-18,96,False
2018-11-25,49,False
2018-12-02,48,False
2018-12-09,49,False
2018-12-16,67,False
2018-12-23,55,False
2018-12-30,51,False
2019-01-06,45,False
2019-01-13,46,False
2019-01-20,46,False
2019-01-27,0,False
2019-02-03,46,False
2019-02-10,48,False
2019-02-17,48,False
2019-02-24,49,False
2019-03-03,0,False
2019-03-10,46,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,49,False
2019-04-07,0,False
2019-04-14,53,False
2019-04-21,74,False
2019-04-28,48,False
2019-05-05,70,False
2019-05-12,47,False
2019-05-19,47,False
2019-05-26,0,False
2019-06-02,45,False
2019-06-09,47,False
2019-06-16,0,False
2019-06-23,47,False
2019-06-30,47,False
2019-07-07,48,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,49,False
2019-08-04,48,False
2019-08-11,0,False
2019-08-18,92,False
2019-08-25,0,False
2019-09-01,88,False
2019-09-08,0,False
2019-09-15,76,False
2019-09-22,45,False
2019-09-29,69,False
2019-10-06,0,False
2019-10-13,45,False
2019-10-20,0,False
2019-10-27,44,False
2019-11-03,43,False
2019-11-10,43,False
2019-11-17,44,False
2019-11-24,42,False
2019-12-01,43,False
2019-12-08,0,False
2019-12-15,73,False
2019-12-22,0,False
2019-12-29,45,False
2020-01-05,41,False
2020-01-12,40,False
2020-01-19,42,False
2020-01-26,0,False
2020-02-02,41,False
2020-02-09,40,False
2020-02-16,83,False
2020-02-23,41,False
2020-03-01,42,False
2020-03-08,58,False
2020-03-15,38,False
2020-03-22,38,False
2020-03-29,57,False
2020-04-05,42,False
2020-04-12,39,False
2020-04-19,38,False
2020-04-26,0,False
2020-05-03,38,False
2020-05-10,37,False
