date,Glas Design,isPartial
2018-01-07,24,False
2018-01-14,31,False
2018-01-21,23,False
2018-01-28,46,False
2018-02-04,71,False
2018-02-11,37,False
2018-02-18,25,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,24,False
2018-03-18,24,False
2018-03-25,0,False
2018-04-01,27,False
2018-04-08,50,False
2018-04-15,38,False
2018-04-22,24,False
2018-04-29,25,False
2018-05-06,0,False
2018-05-13,24,False
2018-05-20,26,False
2018-05-27,26,False
2018-06-03,49,False
2018-06-10,23,False
2018-06-17,39,False
2018-06-24,35,False
2018-07-01,23,False
2018-07-08,23,False
2018-07-15,23,False
2018-07-22,55,False
2018-07-29,24,False
2018-08-05,25,False
2018-08-12,26,False
2018-08-19,26,False
2018-08-26,52,False
2018-09-02,25,False
2018-09-09,73,False
2018-09-16,25,False
2018-09-23,61,False
2018-09-30,24,False
2018-10-07,24,False
2018-10-14,36,False
2018-10-21,24,False
2018-10-28,24,False
2018-11-04,34,False
2018-11-11,36,False
2018-11-18,45,False
2018-11-25,35,False
2018-12-02,38,False
2018-12-09,70,False
2018-12-16,24,False
2018-12-23,47,False
2018-12-30,25,False
2019-01-06,30,False
2019-01-13,22,False
2019-01-20,22,False
2019-01-27,22,False
2019-02-03,33,False
2019-02-10,45,False
2019-02-17,22,False
2019-02-24,47,False
2019-03-03,35,False
2019-03-10,22,False
2019-03-17,24,False
2019-03-24,47,False
2019-03-31,32,False
2019-04-07,0,False
2019-04-14,100,False
2019-04-21,49,False
2019-04-28,23,False
2019-05-05,33,False
2019-05-12,23,False
2019-05-19,0,False
2019-05-26,23,False
2019-06-02,23,False
2019-06-09,49,False
2019-06-16,0,False
2019-06-23,47,False
2019-06-30,0,False
2019-07-07,22,False
2019-07-14,61,False
2019-07-21,24,False
2019-07-28,0,False
2019-08-04,24,False
2019-08-11,25,False
2019-08-18,25,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,34,False
2019-09-15,0,False
2019-09-22,44,False
2019-09-29,22,False
2019-10-06,43,False
2019-10-13,22,False
2019-10-20,43,False
2019-10-27,54,False
2019-11-03,42,False
2019-11-10,22,False
2019-11-17,21,False
2019-11-24,42,False
2019-12-01,44,False
2019-12-08,22,False
2019-12-15,44,False
2019-12-22,25,False
2019-12-29,23,False
2020-01-05,21,False
2020-01-12,0,False
2020-01-19,31,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,26,False
2020-02-16,21,False
2020-02-23,27,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,36,False
2020-03-22,28,False
2020-03-29,0,False
2020-04-05,41,False
2020-04-12,29,False
2020-04-19,28,False
2020-04-26,74,False
2020-05-03,28,False
2020-05-10,19,False
