date,traiteur patisserie,isPartial
2018-01-07,31,False
2018-01-14,41,False
2018-01-21,60,False
2018-01-28,31,False
2018-02-04,30,False
2018-02-11,47,False
2018-02-18,98,False
2018-02-25,33,False
2018-03-04,31,False
2018-03-11,62,False
2018-03-18,31,False
2018-03-25,80,False
2018-04-01,33,False
2018-04-08,47,False
2018-04-15,34,False
2018-04-22,33,False
2018-04-29,64,False
2018-05-06,34,False
2018-05-13,41,False
2018-05-20,63,False
2018-05-27,76,False
2018-06-03,61,False
2018-06-10,89,False
2018-06-17,45,False
2018-06-24,31,False
2018-07-01,30,False
2018-07-08,32,False
2018-07-15,34,False
2018-07-22,70,False
2018-07-29,37,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,37,False
2018-08-26,33,False
2018-09-02,63,False
2018-09-09,31,False
2018-09-16,30,False
2018-09-23,41,False
2018-09-30,62,False
2018-10-07,30,False
2018-10-14,0,False
2018-10-21,30,False
2018-10-28,0,False
2018-11-04,61,False
2018-11-11,29,False
2018-11-18,0,False
2018-11-25,61,False
2018-12-02,30,False
2018-12-09,31,False
2018-12-16,42,False
2018-12-23,97,False
2018-12-30,53,False
2019-01-06,0,False
2019-01-13,61,False
2019-01-20,75,False
2019-01-27,30,False
2019-02-03,29,False
2019-02-10,61,False
2019-02-17,61,False
2019-02-24,79,False
2019-03-03,61,False
2019-03-10,31,False
2019-03-17,31,False
2019-03-24,32,False
2019-03-31,32,False
2019-04-07,48,False
2019-04-14,50,False
2019-04-21,35,False
2019-04-28,81,False
2019-05-05,34,False
2019-05-12,65,False
2019-05-19,48,False
2019-05-26,100,False
2019-06-02,44,False
2019-06-09,48,False
2019-06-16,32,False
2019-06-23,0,False
2019-06-30,65,False
2019-07-07,67,False
2019-07-14,35,False
2019-07-21,0,False
2019-07-28,65,False
2019-08-04,0,False
2019-08-11,87,False
2019-08-18,54,False
2019-08-25,36,False
2019-09-01,98,False
2019-09-08,32,False
2019-09-15,0,False
2019-09-22,31,False
2019-09-29,30,False
2019-10-06,47,False
2019-10-13,31,False
2019-10-20,32,False
2019-10-27,65,False
2019-11-03,45,False
2019-11-10,31,False
2019-11-17,61,False
2019-11-24,90,False
2019-12-01,29,False
2019-12-08,59,False
2019-12-15,92,False
2019-12-22,93,False
2019-12-29,35,False
2020-01-05,60,False
2020-01-12,44,False
2020-01-19,61,False
2020-01-26,59,False
2020-02-02,40,False
2020-02-09,30,False
2020-02-16,31,False
2020-02-23,58,False
2020-03-01,29,False
2020-03-08,28,False
2020-03-15,30,False
2020-03-22,30,False
2020-03-29,0,False
2020-04-05,30,False
2020-04-12,51,False
2020-04-19,60,False
2020-04-26,59,False
2020-05-03,0,False
2020-05-10,44,False
2020-05-17,0,True
