date,video di buon compleanno,isPartial
2018-01-07,27,False
2018-01-14,27,False
2018-01-21,53,False
2018-01-28,79,False
2018-02-04,79,False
2018-02-11,92,False
2018-02-18,26,False
2018-02-25,25,False
2018-03-04,25,False
2018-03-11,100,False
2018-03-18,76,False
2018-03-25,40,False
2018-04-01,27,False
2018-04-08,25,False
2018-04-15,77,False
2018-04-22,27,False
2018-04-29,39,False
2018-05-06,51,False
2018-05-13,63,False
2018-05-20,25,False
2018-05-27,26,False
2018-06-03,26,False
2018-06-10,51,False
2018-06-17,26,False
2018-06-24,53,False
2018-07-01,0,False
2018-07-08,40,False
2018-07-15,81,False
2018-07-22,41,False
2018-07-29,29,False
2018-08-05,62,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,41,False
2018-09-02,25,False
2018-09-09,74,False
2018-09-16,24,False
2018-09-23,37,False
2018-09-30,61,False
2018-10-07,50,False
2018-10-14,50,False
2018-10-21,25,False
2018-10-28,62,False
2018-11-04,71,False
2018-11-11,49,False
2018-11-18,60,False
2018-11-25,74,False
2018-12-02,25,False
2018-12-09,49,False
2018-12-16,50,False
2018-12-23,74,False
2018-12-30,57,False
2019-01-06,25,False
2019-01-13,36,False
2019-01-20,36,False
2019-01-27,47,False
2019-02-03,72,False
2019-02-10,36,False
2019-02-17,24,False
2019-02-24,25,False
2019-03-03,0,False
2019-03-10,25,False
2019-03-17,76,False
2019-03-24,51,False
2019-03-31,25,False
2019-04-07,75,False
2019-04-14,26,False
2019-04-21,0,False
2019-04-28,64,False
2019-05-05,50,False
2019-05-12,48,False
2019-05-19,48,False
2019-05-26,47,False
2019-06-02,0,False
2019-06-09,25,False
2019-06-16,63,False
2019-06-23,52,False
2019-06-30,26,False
2019-07-07,38,False
2019-07-14,52,False
2019-07-21,27,False
2019-07-28,56,False
2019-08-04,60,False
2019-08-11,34,False
2019-08-18,31,False
2019-08-25,42,False
2019-09-01,71,False
2019-09-08,36,False
2019-09-15,70,False
2019-09-22,0,False
2019-09-29,70,False
2019-10-06,48,False
2019-10-13,23,False
2019-10-20,23,False
2019-10-27,46,False
2019-11-03,55,False
2019-11-10,56,False
2019-11-17,0,False
2019-11-24,22,False
2019-12-01,35,False
2019-12-08,23,False
2019-12-15,35,False
2019-12-22,28,False
2019-12-29,41,False
2020-01-05,35,False
2020-01-12,64,False
2020-01-19,66,False
2020-01-26,64,False
2020-02-02,54,False
2020-02-09,43,False
2020-02-16,32,False
2020-02-23,41,False
2020-03-01,41,False
2020-03-08,20,False
2020-03-15,41,False
2020-03-22,49,False
2020-03-29,40,False
2020-04-05,52,False
2020-04-12,84,False
2020-04-19,60,False
2020-04-26,69,True
