date,Schlüssel nachmachen,isPartial
2018-01-07,55,False
2018-01-14,32,False
2018-01-21,49,False
2018-01-28,65,False
2018-02-04,50,False
2018-02-11,65,False
2018-02-18,33,False
2018-02-25,32,False
2018-03-04,32,False
2018-03-11,33,False
2018-03-18,33,False
2018-03-25,33,False
2018-04-01,35,False
2018-04-08,34,False
2018-04-15,53,False
2018-04-22,49,False
2018-04-29,44,False
2018-05-06,35,False
2018-05-13,50,False
2018-05-20,34,False
2018-05-27,65,False
2018-06-03,0,False
2018-06-10,31,False
2018-06-17,52,False
2018-06-24,43,False
2018-07-01,80,False
2018-07-08,31,False
2018-07-15,67,False
2018-07-22,49,False
2018-07-29,81,False
2018-08-05,46,False
2018-08-12,47,False
2018-08-19,52,False
2018-08-26,53,False
2018-09-02,97,False
2018-09-09,47,False
2018-09-16,32,False
2018-09-23,32,False
2018-09-30,0,False
2018-10-07,35,False
2018-10-14,100,False
2018-10-21,31,False
2018-10-28,52,False
2018-11-04,62,False
2018-11-11,64,False
2018-11-18,60,False
2018-11-25,42,False
2018-12-02,32,False
2018-12-09,54,False
2018-12-16,49,False
2018-12-23,47,False
2018-12-30,32,False
2019-01-06,30,False
2019-01-13,30,False
2019-01-20,90,False
2019-01-27,40,False
2019-02-03,60,False
2019-02-10,31,False
2019-02-17,61,False
2019-02-24,53,False
2019-03-03,45,False
2019-03-10,60,False
2019-03-17,46,False
2019-03-24,31,False
2019-03-31,65,False
2019-04-07,54,False
2019-04-14,33,False
2019-04-21,31,False
2019-04-28,30,False
2019-05-05,46,False
2019-05-12,52,False
2019-05-19,30,False
2019-05-26,30,False
2019-06-02,40,False
2019-06-09,44,False
2019-06-16,39,False
2019-06-23,60,False
2019-06-30,29,False
2019-07-07,49,False
2019-07-14,40,False
2019-07-21,52,False
2019-07-28,58,False
2019-08-04,43,False
2019-08-11,36,False
2019-08-18,0,False
2019-08-25,38,False
2019-09-01,28,False
2019-09-08,58,False
2019-09-15,57,False
2019-09-22,76,False
2019-09-29,28,False
2019-10-06,0,False
2019-10-13,37,False
2019-10-20,0,False
2019-10-27,55,False
2019-11-03,36,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,99,False
2019-12-08,41,False
2019-12-15,28,False
2019-12-22,46,False
2019-12-29,46,False
2020-01-05,40,False
2020-01-12,60,False
2020-01-19,67,False
2020-01-26,27,False
2020-02-02,26,False
2020-02-09,26,False
2020-02-16,26,False
2020-02-23,26,False
2020-03-01,65,False
2020-03-08,24,False
2020-03-15,23,False
2020-03-22,0,False
2020-03-29,23,False
2020-04-05,25,False
2020-04-12,37,False
2020-04-19,35,False
2020-04-26,34,False
2020-05-03,82,False
2020-05-10,69,False
