date,torte pasta zucchero,isPartial
2018-01-07,45,False
2018-01-14,55,False
2018-01-21,54,False
2018-01-28,87,False
2018-02-04,22,False
2018-02-11,65,False
2018-02-18,53,False
2018-02-25,52,False
2018-03-04,30,False
2018-03-11,72,False
2018-03-18,42,False
2018-03-25,44,False
2018-04-01,23,False
2018-04-08,31,False
2018-04-15,64,False
2018-04-22,45,False
2018-04-29,33,False
2018-05-06,42,False
2018-05-13,41,False
2018-05-20,21,False
2018-05-27,21,False
2018-06-03,43,False
2018-06-10,52,False
2018-06-17,43,False
2018-06-24,66,False
2018-07-01,22,False
2018-07-08,44,False
2018-07-15,33,False
2018-07-22,23,False
2018-07-29,24,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,28,False
2018-08-26,68,False
2018-09-02,82,False
2018-09-09,61,False
2018-09-16,20,False
2018-09-23,21,False
2018-09-30,31,False
2018-10-07,62,False
2018-10-14,62,False
2018-10-21,20,False
2018-10-28,51,False
2018-11-04,39,False
2018-11-11,40,False
2018-11-18,20,False
2018-11-25,51,False
2018-12-02,62,False
2018-12-09,20,False
2018-12-16,21,False
2018-12-23,25,False
2018-12-30,48,False
2019-01-06,31,False
2019-01-13,49,False
2019-01-20,78,False
2019-01-27,19,False
2019-02-03,20,False
2019-02-10,20,False
2019-02-17,30,False
2019-02-24,21,False
2019-03-03,21,False
2019-03-10,71,False
2019-03-17,42,False
2019-03-24,21,False
2019-03-31,42,False
2019-04-07,20,False
2019-04-14,64,False
2019-04-21,23,False
2019-04-28,21,False
2019-05-05,41,False
2019-05-12,40,False
2019-05-19,59,False
2019-05-26,49,False
2019-06-02,21,False
2019-06-09,0,False
2019-06-16,21,False
2019-06-23,43,False
2019-06-30,21,False
2019-07-07,21,False
2019-07-14,22,False
2019-07-21,22,False
2019-07-28,23,False
2019-08-04,0,False
2019-08-11,57,False
2019-08-18,52,False
2019-08-25,46,False
2019-09-01,59,False
2019-09-08,40,False
2019-09-15,68,False
2019-09-22,38,False
2019-09-29,29,False
2019-10-06,39,False
2019-10-13,58,False
2019-10-20,37,False
2019-10-27,19,False
2019-11-03,28,False
2019-11-10,19,False
2019-11-17,18,False
2019-11-24,36,False
2019-12-01,0,False
2019-12-08,38,False
2019-12-15,39,False
2019-12-22,23,False
2019-12-29,0,False
2020-01-05,29,False
2020-01-12,53,False
2020-01-19,37,False
2020-01-26,35,False
2020-02-02,53,False
2020-02-09,36,False
2020-02-16,36,False
2020-02-23,17,False
2020-03-01,25,False
2020-03-08,33,False
2020-03-15,17,False
2020-03-22,16,False
2020-03-29,100,False
2020-04-05,35,False
2020-04-12,52,False
2020-04-19,16,False
2020-04-26,29,True
