date,Gärtnerei,isPartial
2018-01-07,13,False
2018-01-14,4,False
2018-01-21,17,False
2018-01-28,7,False
2018-02-04,13,False
2018-02-11,8,False
2018-02-18,6,False
2018-02-25,4,False
2018-03-04,6,False
2018-03-11,9,False
2018-03-18,7,False
2018-03-25,9,False
2018-04-01,26,False
2018-04-08,21,False
2018-04-15,25,False
2018-04-22,22,False
2018-04-29,20,False
2018-05-06,32,False
2018-05-13,27,False
2018-05-20,19,False
2018-05-27,25,False
2018-06-03,13,False
2018-06-10,10,False
2018-06-17,10,False
2018-06-24,5,False
2018-07-01,5,False
2018-07-08,5,False
2018-07-15,23,False
2018-07-22,7,False
2018-07-29,5,False
2018-08-05,9,False
2018-08-12,7,False
2018-08-19,7,False
2018-08-26,5,False
2018-09-02,8,False
2018-09-09,8,False
2018-09-16,5,False
2018-09-23,13,False
2018-09-30,8,False
2018-10-07,0,False
2018-10-14,8,False
2018-10-21,8,False
2018-10-28,11,False
2018-11-04,16,False
2018-11-11,11,False
2018-11-18,19,False
2018-11-25,5,False
2018-12-02,5,False
2018-12-09,5,False
2018-12-16,5,False
2018-12-23,5,False
2018-12-30,4,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,8,False
2019-02-03,8,False
2019-02-10,4,False
2019-02-17,4,False
2019-02-24,4,False
2019-03-03,10,False
2019-03-10,4,False
2019-03-17,20,False
2019-03-24,19,False
2019-03-31,12,False
2019-04-07,14,False
2019-04-14,23,False
2019-04-21,18,False
2019-04-28,31,False
2019-05-05,23,False
2019-05-12,20,False
2019-05-19,25,False
2019-05-26,25,False
2019-06-02,25,False
2019-06-09,17,False
2019-06-16,24,False
2019-06-23,17,False
2019-06-30,14,False
2019-07-07,9,False
2019-07-14,14,False
2019-07-21,7,False
2019-07-28,11,False
2019-08-04,11,False
2019-08-11,13,False
2019-08-18,9,False
2019-08-25,5,False
2019-09-01,11,False
2019-09-08,9,False
2019-09-15,14,False
2019-09-22,7,False
2019-09-29,10,False
2019-10-06,16,False
2019-10-13,6,False
2019-10-20,9,False
2019-10-27,6,False
2019-11-03,0,False
2019-11-10,13,False
2019-11-17,4,False
2019-11-24,19,False
2019-12-01,13,False
2019-12-08,8,False
2019-12-15,12,False
2019-12-22,8,False
2019-12-29,0,False
2020-01-05,3,False
2020-01-12,3,False
2020-01-19,3,False
2020-01-26,5,False
2020-02-02,5,False
2020-02-09,13,False
2020-02-16,13,False
2020-02-23,10,False
2020-03-01,9,False
2020-03-08,14,False
2020-03-15,50,False
2020-03-22,63,False
2020-03-29,92,False
2020-04-05,100,False
2020-04-12,57,False
2020-04-19,39,False
2020-04-26,46,False
2020-05-03,26,False
2020-05-10,25,False
2020-05-17,25,False
2020-05-24,32,False
2020-05-31,10,False
2020-06-07,13,False
2020-06-14,14,False
2020-06-21,10,False
2020-06-28,11,False
2020-07-05,13,False
