date,Gärtnerei,isPartial
2018-01-07,7,False
2018-01-14,6,False
2018-01-21,8,False
2018-01-28,9,False
2018-02-04,8,False
2018-02-11,11,False
2018-02-18,8,False
2018-02-25,8,False
2018-03-04,11,False
2018-03-11,14,False
2018-03-18,11,False
2018-03-25,18,False
2018-04-01,25,False
2018-04-08,34,False
2018-04-15,28,False
2018-04-22,36,False
2018-04-29,38,False
2018-05-06,35,False
2018-05-13,27,False
2018-05-20,20,False
2018-05-27,17,False
2018-06-03,15,False
2018-06-10,15,False
2018-06-17,12,False
2018-06-24,13,False
2018-07-01,13,False
2018-07-08,13,False
2018-07-15,12,False
2018-07-22,14,False
2018-07-29,11,False
2018-08-05,9,False
2018-08-12,14,False
2018-08-19,11,False
2018-08-26,13,False
2018-09-02,11,False
2018-09-09,13,False
2018-09-16,13,False
2018-09-23,10,False
2018-09-30,12,False
2018-10-07,13,False
2018-10-14,13,False
2018-10-21,13,False
2018-10-28,9,False
2018-11-04,9,False
2018-11-11,13,False
2018-11-18,16,False
2018-11-25,12,False
2018-12-02,7,False
2018-12-09,6,False
2018-12-16,8,False
2018-12-23,6,False
2018-12-30,4,False
2019-01-06,5,False
2019-01-13,8,False
2019-01-20,7,False
2019-01-27,6,False
2019-02-03,10,False
2019-02-10,10,False
2019-02-17,14,False
2019-02-24,11,False
2019-03-03,16,False
2019-03-10,14,False
2019-03-17,19,False
2019-03-24,21,False
2019-03-31,26,False
2019-04-07,22,False
2019-04-14,27,False
2019-04-21,27,False
2019-04-28,36,False
2019-05-05,29,False
2019-05-12,26,False
2019-05-19,22,False
2019-05-26,19,False
2019-06-02,20,False
2019-06-09,16,False
2019-06-16,14,False
2019-06-23,11,False
2019-06-30,13,False
2019-07-07,15,False
2019-07-14,13,False
2019-07-21,10,False
2019-07-28,12,False
2019-08-04,12,False
2019-08-11,13,False
2019-08-18,13,False
2019-08-25,13,False
2019-09-01,11,False
2019-09-08,14,False
2019-09-15,10,False
2019-09-22,11,False
2019-09-29,11,False
2019-10-06,10,False
2019-10-13,15,False
2019-10-20,15,False
2019-10-27,14,False
2019-11-03,10,False
2019-11-10,8,False
2019-11-17,17,False
2019-11-24,11,False
2019-12-01,8,False
2019-12-08,6,False
2019-12-15,9,False
2019-12-22,7,False
2019-12-29,7,False
2020-01-05,6,False
2020-01-12,5,False
2020-01-19,7,False
2020-01-26,8,False
2020-02-02,8,False
2020-02-09,16,False
2020-02-16,14,False
2020-02-23,13,False
2020-03-01,16,False
2020-03-08,15,False
2020-03-15,42,False
2020-03-22,58,False
2020-03-29,100,False
2020-04-05,96,False
2020-04-12,62,False
2020-04-19,53,False
2020-04-26,55,False
2020-05-03,51,False
2020-05-10,33,False
2020-05-17,37,False
2020-05-24,27,False
2020-05-31,21,False
2020-06-07,18,False
2020-06-14,19,False
2020-06-21,17,False
2020-06-28,14,False
2020-07-05,14,False
