date,Gärtnerei,isPartial
2018-01-07,2,False
2018-01-14,12,False
2018-01-21,12,False
2018-01-28,13,False
2018-02-04,9,False
2018-02-11,7,False
2018-02-18,6,False
2018-02-25,7,False
2018-03-04,12,False
2018-03-11,12,False
2018-03-18,11,False
2018-03-25,26,False
2018-04-01,24,False
2018-04-08,31,False
2018-04-15,28,False
2018-04-22,34,False
2018-04-29,22,False
2018-05-06,38,False
2018-05-13,17,False
2018-05-20,12,False
2018-05-27,16,False
2018-06-03,13,False
2018-06-10,12,False
2018-06-17,10,False
2018-06-24,9,False
2018-07-01,15,False
2018-07-08,7,False
2018-07-15,11,False
2018-07-22,7,False
2018-07-29,8,False
2018-08-05,8,False
2018-08-12,9,False
2018-08-19,17,False
2018-08-26,17,False
2018-09-02,6,False
2018-09-09,17,False
2018-09-16,13,False
2018-09-23,8,False
2018-09-30,6,False
2018-10-07,10,False
2018-10-14,10,False
2018-10-21,11,False
2018-10-28,12,False
2018-11-04,8,False
2018-11-11,9,False
2018-11-18,12,False
2018-11-25,9,False
2018-12-02,2,False
2018-12-09,4,False
2018-12-16,11,False
2018-12-23,3,False
2018-12-30,4,False
2019-01-06,6,False
2019-01-13,5,False
2019-01-20,7,False
2019-01-27,10,False
2019-02-03,5,False
2019-02-10,11,False
2019-02-17,15,False
2019-02-24,16,False
2019-03-03,8,False
2019-03-10,12,False
2019-03-17,16,False
2019-03-24,26,False
2019-03-31,25,False
2019-04-07,25,False
2019-04-14,30,False
2019-04-21,34,False
2019-04-28,29,False
2019-05-05,38,False
2019-05-12,22,False
2019-05-19,19,False
2019-05-26,19,False
2019-06-02,16,False
2019-06-09,17,False
2019-06-16,18,False
2019-06-23,13,False
2019-06-30,15,False
2019-07-07,20,False
2019-07-14,18,False
2019-07-21,14,False
2019-07-28,8,False
2019-08-04,12,False
2019-08-11,12,False
2019-08-18,15,False
2019-08-25,6,False
2019-09-01,13,False
2019-09-08,13,False
2019-09-15,10,False
2019-09-22,7,False
2019-09-29,15,False
2019-10-06,10,False
2019-10-13,10,False
2019-10-20,14,False
2019-10-27,12,False
2019-11-03,15,False
2019-11-10,10,False
2019-11-17,12,False
2019-11-24,10,False
2019-12-01,10,False
2019-12-08,4,False
2019-12-15,5,False
2019-12-22,6,False
2019-12-29,8,False
2020-01-05,7,False
2020-01-12,10,False
2020-01-19,4,False
2020-01-26,4,False
2020-02-02,8,False
2020-02-09,14,False
2020-02-16,15,False
2020-02-23,19,False
2020-03-01,16,False
2020-03-08,15,False
2020-03-15,41,False
2020-03-22,47,False
2020-03-29,100,False
2020-04-05,86,False
2020-04-12,73,False
2020-04-19,48,False
2020-04-26,33,False
2020-05-03,47,False
2020-05-10,31,False
2020-05-17,35,False
2020-05-24,28,False
2020-05-31,13,False
2020-06-07,24,False
2020-06-14,15,False
2020-06-21,12,False
2020-06-28,15,False
2020-07-05,18,False
