date,Manitas,isPartial
2018-01-07,47,False
2018-01-14,34,False
2018-01-21,99,False
2018-01-28,33,False
2018-02-04,50,False
2018-02-11,35,False
2018-02-18,50,False
2018-02-25,31,False
2018-03-04,0,False
2018-03-11,31,False
2018-03-18,49,False
2018-03-25,70,False
2018-04-01,31,False
2018-04-08,47,False
2018-04-15,32,False
2018-04-22,48,False
2018-04-29,0,False
2018-05-06,32,False
2018-05-13,68,False
2018-05-20,0,False
2018-05-27,33,False
2018-06-03,32,False
2018-06-10,32,False
2018-06-17,36,False
2018-06-24,35,False
2018-07-01,35,False
2018-07-08,35,False
2018-07-15,37,False
2018-07-22,74,False
2018-07-29,35,False
2018-08-05,34,False
2018-08-12,34,False
2018-08-19,34,False
2018-08-26,34,False
2018-09-02,71,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,33,False
2018-09-30,34,False
2018-10-07,34,False
2018-10-14,32,False
2018-10-21,0,False
2018-10-28,33,False
2018-11-04,46,False
2018-11-11,32,False
2018-11-18,31,False
2018-11-25,54,False
2018-12-02,34,False
2018-12-09,33,False
2018-12-16,33,False
2018-12-23,54,False
2018-12-30,36,False
2019-01-06,33,False
2019-01-13,78,False
2019-01-20,30,False
2019-01-27,61,False
2019-02-03,64,False
2019-02-10,32,False
2019-02-17,65,False
2019-02-24,33,False
2019-03-03,100,False
2019-03-10,0,False
2019-03-17,33,False
2019-03-24,33,False
2019-03-31,31,False
2019-04-07,33,False
2019-04-14,63,False
2019-04-21,31,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,66,False
2019-05-19,0,False
2019-05-26,32,False
2019-06-02,0,False
2019-06-09,32,False
2019-06-16,33,False
2019-06-23,34,False
2019-06-30,34,False
2019-07-07,34,False
2019-07-14,47,False
2019-07-21,35,False
2019-07-28,35,False
2019-08-04,34,False
2019-08-11,44,False
2019-08-18,33,False
2019-08-25,32,False
2019-09-01,33,False
2019-09-08,33,False
2019-09-15,31,False
2019-09-22,32,False
2019-09-29,42,False
2019-10-06,62,False
2019-10-13,29,False
2019-10-20,30,False
2019-10-27,28,False
2019-11-03,29,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,27,False
2019-12-01,60,False
2019-12-08,45,False
2019-12-15,42,False
2019-12-22,30,False
2019-12-29,61,False
2020-01-05,30,False
2020-01-12,39,False
2020-01-19,62,False
2020-01-26,54,False
2020-02-02,56,False
2020-02-09,28,False
2020-02-16,44,False
2020-02-23,41,False
2020-03-01,26,False
2020-03-08,26,False
2020-03-15,0,False
2020-03-22,46,False
2020-03-29,38,False
2020-04-05,24,False
2020-04-12,23,False
2020-04-19,34,False
2020-04-26,23,False
2020-05-03,46,False
2020-05-10,35,False
2020-05-17,86,True
